0.62	21.55	0.03
1.51	22.74	0.26	
3.86	20.44	0.01
4.64	20.79	0.17
5.56	21.16	0.14
6.64	20.97	0.1
9.61	21.94	0.1
13.71	22.24	0.15
15.57	22.09	0.08
18.5	22.26	0.08
19.58	22.08	0.08
23.75	22.25	0.06
0.15	21.4	0.16
1.99	22.2	0.3
2.99	20.9	0.06
1.519	22.32	0.19
3.674	20.65	0.14
4.42	20.37	0.26
4.668	20.64	0.14
5.56	21.16	0.16
18.582	22.24	0.11
0.19	21.4	0.16
1.2	21.69	0.23
2	22.37	0.19
2.23	22.2	0.15
2.97	20.86	0.05
3.98	20.51	0.06
4.95	20.97	0.09
5.96	21.3	0.27
17.96	22.29	0.21
