theta_obs_over_theta_c,time_s,frequency_hz,uniform,adaptive,relative
0.0,1000.0,10000000000.0,4.5649700767678566e-26,4.5649700767678566e-26,0.0
0.0,1333.521432163324,10000000000.0,5.0257996591522375e-26,5.0257996591522375e-26,0.0
0.0,1778.2794100389228,10000000000.0,5.705801134312316e-26,5.705801134312316e-26,0.0
0.0,2371.373705661655,10000000000.0,6.77152503952027e-26,6.77152503952027e-26,0.0
0.0,3162.2776601683795,10000000000.0,7.186355089552085e-26,7.186355089552085e-26,0.0
0.0,4216.965034285822,10000000000.0,8.496632243490579e-26,8.496632243490579e-26,0.0
0.0,5623.413251903491,10000000000.0,9.113195186022268e-26,9.113195186022268e-26,0.0
0.0,7498.942093324558,10000000000.0,9.922900293013224e-26,9.922900293013224e-26,0.0
0.0,10000.0,10000000000.0,1.0611074417520586e-25,1.0611074417520586e-25,0.0
0.0,13335.21432163324,10000000000.0,1.1315065690014842e-25,1.1315065690014842e-25,0.0
0.0,17782.794100389227,10000000000.0,1.272843304178096e-25,1.272843304178096e-25,0.0
0.0,23713.737056616552,10000000000.0,1.4733279785787022e-25,1.4733279785787022e-25,0.0
0.0,31622.776601683792,10000000000.0,1.7225391088855279e-25,1.7225391088855279e-25,0.0
0.0,42169.65034285822,10000000000.0,1.9296650043434758e-25,1.9296650043434758e-25,0.0
0.0,56234.13251903491,10000000000.0,2.0638915143083198e-25,2.0638915143083198e-25,0.0
0.0,74989.42093324558,10000000000.0,2.1144170566445484e-25,2.1144170566445484e-25,0.0
0.0,100000.0,10000000000.0,2.0622018697436925e-25,2.0622018697436925e-25,0.0
0.0,133352.1432163324,10000000000.0,1.8574423680351046e-25,1.8574423680351046e-25,0.0
0.0,177827.94100389228,10000000000.0,1.9645818597140238e-25,1.9645818597140238e-25,0.0
0.0,237137.37056616554,10000000000.0,2.168983771030599e-25,2.168983771030599e-25,0.0
0.0,316227.7660168379,10000000000.0,2.03948051770971e-25,2.03948051770971e-25,0.0
0.0,421696.5034285822,10000000000.0,1.74885962609898e-25,1.74885962609898e-25,0.0
0.0,562341.3251903491,10000000000.0,1.5091555442978287e-25,1.5091555442978287e-25,0.0
0.0,749894.2093324559,10000000000.0,1.303734441394785e-25,1.303734441394785e-25,0.0
0.0,1000000.0,10000000000.0,1.3875056490569165e-25,1.3875056490569165e-25,0.0
0.0,1000.0,100000000000000.0,7.13744337900527e-25,7.13744337900527e-25,0.0
0.0,1333.521432163324,100000000000000.0,7.491097930260364e-25,7.491097930260364e-25,0.0
0.0,1778.2794100389228,100000000000000.0,8.1978947949286125e-25,8.1978947949286125e-25,0.0
0.0,2371.373705661655,100000000000000.0,9.20345333530365e-25,9.20345333530365e-25,0.0
0.0,3162.2776601683795,100000000000000.0,9.121862374147353e-25,9.121862374147353e-25,0.0
0.0,4216.965034285822,100000000000000.0,1.0093658455994998e-24,1.0093658455994998e-24,0.0
0.0,5623.413251903491,100000000000000.0,9.922753745720398e-25,9.922753745720398e-25,0.0
0.0,7498.942093324558,100000000000000.0,9.901873159609896e-25,9.901873159609896e-25,0.0
0.0,10000.0,100000000000000.0,9.556349763102946e-25,9.556349763102946e-25,0.0
0.0,13335.21432163324,100000000000000.0,8.904935834229918e-25,8.904935834229918e-25,0.0
0.0,17782.794100389227,100000000000000.0,8.278807229520439e-25,8.278807229520439e-25,0.0
