theta_obs_over_theta_c,sampling,grid,patch_count,cost_reduction,candidate_elapsed_s,reference_elapsed_s,max_abs,p95_abs,median_abs
0.0,uniform,15x15,225,0.25,13.336730913999986,36.68830488200001,0.3827731097635838,0.15797894487714498,0.0032547974636317756
0.5,uniform,15x15,225,0.25,13.336730913999986,36.68830488200001,0.053226487762702446,0.04830043428446682,0.0024523221146817153
1.0,uniform,15x15,225,0.25,13.336730913999986,36.68830488200001,0.0519873011458617,0.034003661916135845,0.0015315171106717873
1.5,uniform,15x15,225,0.25,13.336730913999986,36.68830488200001,0.060467988588585486,0.03540893713166949,0.0030883772866194814
2.0,uniform,15x15,225,0.25,13.336730913999986,36.68830488200001,0.39458842849787723,0.195803130229733,0.004200435752020559
all,uniform,15x15,225,0.25,13.336730913999986,36.68830488200001,0.39458842849787723,0.08010472560701948,0.002941946747521351
0.0,uniform,18x15,270,0.09999999999999998,15.675405979000004,36.68830488200001,0.26318633080595344,0.05563557847196583,0.006031681300638692
0.5,uniform,18x15,270,0.09999999999999998,15.675405979000004,36.68830488200001,0.06329379624938336,0.018884646022530593,0.0008391510699623517
1.0,uniform,18x15,270,0.09999999999999998,15.675405979000004,36.68830488200001,0.05403437847017334,0.021711240590573198,0.0023068673173676224
1.5,uniform,18x15,270,0.09999999999999998,15.675405979000004,36.68830488200001,0.030770653205045795,0.02531494906550726,0.004168591448706294
2.0,uniform,18x15,270,0.09999999999999998,15.675405979000004,36.68830488200001,0.08855282791536578,0.07535694696862641,0.005123954632383576
all,uniform,18x15,270,0.09999999999999998,15.675405979000004,36.68830488200001,0.26318633080595344,0.039865338757079274,0.003274079805258623
