scenario,band,nu_hz,time_s,fullhide_fnu,dg_fnu,fullhide_nufnu,dg_nufnu,ratio_dg_to_fullhide
ism,10GHz,1.00000000e+10,1.00000000e+03,5.35083181e-26,5.58943913e-26,5.35083181e-16,5.58943913e-16,1.04459257e+00
ism,10GHz,1.00000000e+10,1.12365480e+03,5.62625987e-26,5.86808990e-26,5.62625987e-16,5.86808990e-16,1.04298238e+00
ism,10GHz,1.00000000e+10,1.26260011e+03,5.91689528e-26,6.15137291e-26,5.91689528e-16,6.15137291e-16,1.03962849e+00
ism,10GHz,1.00000000e+10,1.41872667e+03,6.22033105e-26,6.43879162e-26,6.22033105e-16,6.43879162e-16,1.03512041e+00
ism,10GHz,1.00000000e+10,1.59415904e+03,6.54464924e-26,6.76223207e-26,6.54464924e-16,6.76223207e-16,1.03324591e+00
ism,10GHz,1.00000000e+10,1.79128445e+03,6.88740182e-26,7.12034992e-26,6.88740182e-16,7.12034992e-16,1.03382235e+00
ism,10GHz,1.00000000e+10,2.01278538e+03,7.25446854e-26,7.51610216e-26,7.25446854e-16,7.51610216e-16,1.03606517e+00
ism,10GHz,1.00000000e+10,2.26167595e+03,7.64236899e-26,7.93989825e-26,7.64236899e-16,7.93989825e-16,1.03893155e+00
ism,10GHz,1.00000000e+10,2.54134304e+03,8.05314320e-26,8.38206990e-26,8.05314320e-16,8.38206990e-16,1.04084451e+00
ism,10GHz,1.00000000e+10,2.85559230e+03,8.48253193e-26,8.83656690e-26,8.48253193e-16,8.83656690e-16,1.04173694e+00
ism,10GHz,1.00000000e+10,3.20870000e+03,8.93521831e-26,9.30151687e-26,8.93521831e-16,9.30151687e-16,1.04099492e+00
ism,10GHz,1.00000000e+10,3.60547115e+03,9.40761134e-26,9.77258548e-26,9.40761134e-16,9.77258548e-16,1.03879562e+00
ism,10GHz,1.00000000e+10,4.05130497e+03,9.91312037e-26,1.02856626e-25,9.91312037e-16,1.02856626e-15,1.03758072e+00
ism,10GHz,1.00000000e+10,4.55226828e+03,1.04487891e-25,1.08432103e-25,1.04487891e-15,1.08432103e-15,1.03774802e+00
ism,10GHz,1.00000000e+10,5.11517810e+03,1.10246670e-25,1.14497449e-25,1.10246670e-15,1.14497449e-15,1.03855698e+00
ism,10GHz,1.00000000e+10,5.74769442e+03,1.16352357e-25,1.20965352e-25,1.16352357e-15,1.20965352e-15,1.03964677e+00
ism,10GHz,1.00000000e+10,6.45842443e+03,1.22836482e-25,1.27799142e-25,1.22836482e-15,1.27799142e-15,1.04040054e+00
ism,10GHz,1.00000000e+10,7.25703961e+03,1.29628325e-25,1.34906026e-25,1.29628325e-15,1.34906026e-15,1.04071410e+00
ism,10GHz,1.00000000e+10,8.15440740e+03,1.36791528e-25,1.42259364e-25,1.36791528e-15,1.42259364e-15,1.03997203e+00
ism,10GHz,1.00000000e+10,9.16273901e+03,1.44269101e-25,1.49814064e-25,1.44269101e-15,1.49814064e-15,1.03843486e+00
ism,10GHz,1.00000000e+10,1.02957557e+04,1.52280880e-25,1.58134808e-25,1.52280880e-15,1.58134808e-15,1.03844165e+00
ism,10GHz,1.00000000e+10,1.15688753e+04,1.60778907e-25,1.67210700e-25,1.60778907e-15,1.67210700e-15,1.04000396e+00
ism,10GHz,1.00000000e+10,1.29994222e+04,1.69918626e-25,1.76978715e-25,1.69918626e-15,1.76978715e-15,1.04154982e+00
ism,10GHz,1.00000000e+10,1.46068632e+04,1.79612093e-25,1.87296940e-25,1.79612093e-15,1.87296940e-15,1.04278580e+00
ism,10GHz,1.00000000e+10,1.64130720e+04,1.89868092e-25,1.98099066e-25,1.89868092e-15,1.98099066e-15,1.04335101e+00
ism,10GHz,1.00000000e+10,1.84426271e+04,2.00520758e-25,2.09203585e-25,2.00520758e-15,2.09203585e-15,1.04330139e+00
ism,10GHz,1.00000000e+10,2.07231465e+04,2.11596247e-25,2.20500753e-25,2.11596247e-15,2.20500753e-15,1.04208254e+00
ism,10GHz,1.00000000e+10,2.32856630e+04,2.22845404e-25,2.31721469e-25,2.22845404e-15,2.31721469e-15,1.03983060e+00
ism,10GHz,1.00000000e+10,2.61650470e+04,2.34384286e-25,2.43581171e-25,2.34384286e-15,2.43581171e-15,1.03923849e+00
ism,10GHz,1.00000000e+10,2.94004806e+04,2.45805958e-25,2.55617609e-25,2.45805958e-15,2.55617609e-15,1.03991625e+00
ism,10GHz,1.00000000e+10,3.30359912e+04,2.56934962e-25,2.67400723e-25,2.56934962e-15,2.67400723e-15,1.04073311e+00
ism,10GHz,1.00000000e+10,3.71210501e+04,2.67253893e-25,2.78519360e-25,2.67253893e-15,2.78519360e-15,1.04215268e+00
ism,10GHz,1.00000000e+10,4.17112461e+04,2.76306640e-25,2.88045121e-25,2.76306640e-15,2.88045121e-15,1.04248353e+00
ism,10GHz,1.00000000e+10,4.68690419e+04,2.83723281e-25,2.95762767e-25,2.83723281e-15,2.95762767e-15,1.04243391e+00
ism,10GHz,1.00000000e+10,5.26646239e+04,2.89617601e-25,3.01479225e-25,2.89617601e-15,3.01479225e-15,1.04095616e+00
ism,10GHz,1.00000000e+10,5.91768575e+04,2.93523954e-25,3.04443934e-25,2.93523954e-15,3.04443934e-15,1.03720303e+00
ism,10GHz,1.00000000e+10,6.64943600e+04,2.96185195e-25,3.06804240e-25,2.96185195e-15,3.06804240e-15,1.03585272e+00
ism,10GHz,1.00000000e+10,7.47167068e+04,2.97776154e-25,3.09164297e-25,2.97776154e-15,3.09164297e-15,1.03824397e+00
ism,10GHz,1.00000000e+10,8.39557862e+04,2.98341667e-25,3.09980587e-25,2.98341667e-15,3.09980587e-15,1.03901205e+00
ism,10GHz,1.00000000e+10,9.43373222e+04,2.97595167e-25,3.09091340e-25,2.97595167e-15,3.09091340e-15,1.03863024e+00
ism,10GHz,1.00000000e+10,1.06002585e+05,2.96130672e-25,3.07404092e-25,2.96130672e-15,3.07404092e-15,1.03806907e+00
ism,10GHz,1.00000000e+10,1.19110313e+05,2.93897928e-25,3.05380847e-25,2.93897928e-15,3.05380847e-15,1.03907111e+00
ism,10GHz,1.00000000e+10,1.33838875e+05,2.91226773e-25,3.02338209e-25,2.91226773e-15,3.02338209e-15,1.03815390e+00
ism,10GHz,1.00000000e+10,1.50388695e+05,2.87716809e-25,2.97341570e-25,2.87716809e-15,2.97341570e-15,1.03345220e+00
ism,10GHz,1.00000000e+10,1.68984979e+05,2.84295552e-25,2.93201016e-25,2.84295552e-15,2.93201016e-15,1.03132467e+00
ism,10GHz,1.00000000e+10,1.89880782e+05,2.81033162e-25,2.90493292e-25,2.81033162e-15,2.90493292e-15,1.03366197e+00
ism,10GHz,1.00000000e+10,2.13360453e+05,2.77873096e-25,2.88483323e-25,2.77873096e-15,2.88483323e-15,1.03818371e+00
ism,10GHz,1.00000000e+10,2.39743497e+05,2.74136971e-25,2.85780762e-25,2.74136971e-15,2.85780762e-15,1.04247436e+00
ism,10GHz,1.00000000e+10,2.69388931e+05,2.69703769e-25,2.80334253e-25,2.69703769e-15,2.80334253e-15,1.03941541e+00
ism,10GHz,1.00000000e+10,3.02700165e+05,2.64477970e-25,2.72967897e-25,2.64477970e-15,2.72967897e-15,1.03210070e+00
ism,10GHz,1.00000000e+10,3.40130494e+05,2.60268277e-25,2.67969688e-25,2.60268277e-15,2.67969688e-15,1.02959028e+00
ism,10GHz,1.00000000e+10,3.82189262e+05,2.56588341e-25,2.65965152e-25,2.56588341e-15,2.65965152e-15,1.03654418e+00
ism,10GHz,1.00000000e+10,4.29448799e+05,2.53314881e-25,2.64260596e-25,2.53314881e-15,2.64260596e-15,1.04320992e+00
ism,10GHz,1.00000000e+10,4.82552204e+05,2.49199335e-25,2.59951488e-25,2.49199335e-15,2.59951488e-15,1.04314679e+00
ism,10GHz,1.00000000e+10,5.42222101e+05,2.44197976e-25,2.53742357e-25,2.44197976e-15,2.53742357e-15,1.03908460e+00
ism,10GHz,1.00000000e+10,6.09270466e+05,2.38424932e-25,2.46403559e-25,2.38424932e-15,2.46403559e-15,1.03346390e+00
ism,10GHz,1.00000000e+10,6.84609684e+05,2.33819364e-25,2.41985971e-25,2.33819364e-15,2.41985971e-15,1.03492699e+00
ism,10GHz,1.00000000e+10,7.69264957e+05,2.29345261e-25,2.38698997e-25,2.29345261e-15,2.38698997e-15,1.04078452e+00
ism,10GHz,1.00000000e+10,8.64388262e+05,2.24863074e-25,2.34817012e-25,2.24863074e-15,2.34817012e-15,1.04426666e+00
ism,10GHz,1.00000000e+10,9.71274020e+05,2.19116870e-25,2.29252517e-25,2.19116870e-15,2.29252517e-15,1.04625681e+00
ism,10GHz,1.00000000e+10,1.09137671e+06,2.12670837e-25,2.22096004e-25,2.12670837e-15,2.22096004e-15,1.04431810e+00
ism,10GHz,1.00000000e+10,1.22633068e+06,2.04906849e-25,2.13572051e-25,2.04906849e-15,2.13572051e-15,1.04228849e+00
ism,10GHz,1.00000000e+10,1.37797236e+06,1.98409735e-25,2.07378391e-25,1.98409735e-15,2.07378391e-15,1.04520270e+00
ism,10GHz,1.00000000e+10,1.54836526e+06,1.90524375e-25,1.99779159e-25,1.90524375e-15,1.99779159e-15,1.04857533e+00
ism,10GHz,1.00000000e+10,1.73982805e+06,1.82381680e-25,1.91695953e-25,1.82381680e-15,1.91695953e-15,1.05107022e+00
ism,10GHz,1.00000000e+10,1.95496614e+06,1.72353911e-25,1.81509165e-25,1.72353911e-15,1.81509165e-15,1.05311892e+00
ism,10GHz,1.00000000e+10,2.19670709e+06,1.61510943e-25,1.70111387e-25,1.61510943e-15,1.70111387e-15,1.05324991e+00
