scenario,solver,band,nu_hz,t_obs_s,flux_density
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.00000000e-01,6.64363245e-32
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.21397719e-01,1.05430215e-31
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.47374062e-01,1.71349446e-31
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.78908749e-01,2.85147404e-31
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.17191140e-01,4.82425440e-31
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.63665090e-01,8.26386802e-31
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,3.20083405e-01,1.43064677e-30
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,3.88573952e-01,2.51396708e-30
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,4.71719914e-01,4.46727975e-30
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,5.72657215e-01,8.02423062e-30
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,6.95192796e-01,1.45169342e-29
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,8.43948197e-01,2.63479559e-29
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.02453386e+00,4.78147357e-29
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.24376073e+00,8.63928708e-29
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.50989716e+00,1.54561099e-28
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.83298071e+00,2.72206519e-28
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.22519677e+00,4.68356480e-28
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.70133812e+00,7.71448050e-28
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,3.27936286e+00,1.21053020e-27
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,3.98107171e+00,1.79109037e-27
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,4.83293024e+00,2.50120598e-27
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,5.86706707e+00,3.32570426e-27
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,7.12248558e+00,4.23964514e-27
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,8.64653503e+00,4.98965156e-27
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.04966963e+01,5.51316725e-27
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.27427499e+01,6.58703200e-27
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.54694077e+01,7.99611532e-27
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,1.87795080e+01,9.40162824e-27
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.27978944e+01,1.10917689e-26
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,2.76761237e+01,1.29935218e-26
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,3.35981829e+01,1.50964976e-26
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,4.07874276e+01,1.74305728e-26
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,4.95150067e+01,1.98223095e-26
ISM continuous jumps,fullhide_1d,10GHz,1.00000000e+10,6.01100886e+01,2.19233779e-26
