scenario,solver,band,nu_hz,t_obs_s,flux_density
ISM,fullhide_1d,10GHz,1.00000000e+10,1.00000000e+03,5.63736620e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,1.12365480e+03,5.92103786e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,1.26260011e+03,6.22079488e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,1.41872667e+03,6.53399173e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,1.59415904e+03,6.86815904e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,1.79128445e+03,7.22067991e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,2.01278538e+03,7.59751840e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,2.26167595e+03,7.99530951e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,2.54134304e+03,8.41726807e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,2.85559230e+03,8.85914482e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,3.20870000e+03,9.32586194e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,3.60547115e+03,9.81358600e-26
ISM,fullhide_1d,10GHz,1.00000000e+10,4.05130497e+03,1.03347660e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,4.55226828e+03,1.08858891e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,5.11517810e+03,1.14771815e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,5.74769442e+03,1.21030766e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,6.45842443e+03,1.27687077e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,7.25703961e+03,1.34671891e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,8.15440740e+03,1.42055143e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,9.16273901e+03,1.49775336e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.02957557e+04,1.58035014e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.15688753e+04,1.66778504e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.29994222e+04,1.76160966e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.46068632e+04,1.86093354e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.64130720e+04,1.96616261e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.84426271e+04,2.07564427e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,2.07231465e+04,2.18967501e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,2.32856630e+04,2.30564878e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,2.61650470e+04,2.42434588e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,2.94004806e+04,2.54151406e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,3.30359912e+04,2.65530472e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,3.71210501e+04,2.76033291e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,4.17112461e+04,2.85265611e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,4.68690419e+04,2.92823115e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,5.26646239e+04,2.98818481e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,5.91768575e+04,3.02827944e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,6.64943600e+04,3.05505220e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,7.47167068e+04,3.06983035e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,8.39557862e+04,3.07418149e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,9.43373222e+04,3.06550561e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.06002585e+05,3.04948017e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.19110313e+05,3.02544692e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.33838875e+05,2.99711259e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.50388695e+05,2.96064459e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.68984979e+05,2.92445966e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,1.89880782e+05,2.88829967e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,2.13360453e+05,2.85309850e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,2.39743497e+05,2.81285510e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,2.69388931e+05,2.76732384e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,3.02700165e+05,2.71408070e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,3.40130494e+05,2.66934637e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,3.82189262e+05,2.62769935e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,4.29448799e+05,2.58994846e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,4.82552204e+05,2.54476977e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,5.42222101e+05,2.49188632e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,6.09270466e+05,2.43178453e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,6.84609684e+05,2.38059081e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,7.69264957e+05,2.32892829e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,8.64388262e+05,2.27754051e-25
ISM,fullhide_1d,10GHz,1.00000000e+10,9.71274020e+05,2.21385249e-25
