scenario,solver,component,band,frequency_hz,time_s,flux_mjy
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.000000000000e-01,6.643632447035e-32
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.213977189070e-01,1.054302147320e-31
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.473740615582e-01,1.713494458017e-31
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.789087489923e-01,2.851474035217e-31
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.171911402017e-01,4.824254400532e-31
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.636650898730e-01,8.263868017821e-31
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.200834046600e-01,1.430646773578e-30
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.885739518571e-01,2.513967081792e-30
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.717199138213e-01,4.467279754229e-30
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.726572150092e-01,8.024230621845e-30
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.951927961776e-01,1.451693422469e-29
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,8.439481965654e-01,2.634795591336e-29
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.024533859387e+00,4.781473569672e-29
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.243760734726e+00,8.639287078698e-29
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.509897160618e+00,1.545610988126e-28
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.832980710832e+00,2.722065193148e-28
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.225196770956e+00,4.683564798037e-28
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.701338121133e+00,7.714480503029e-28
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.279362859021e+00,1.210530198061e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.981071705535e+00,1.791090370064e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.832930238572e+00,2.501205980486e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.867067065993e+00,3.325704261073e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,7.122485584860e+00,4.239645139920e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,8.646535029500e+00,4.989651564596e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.049669629031e+01,5.513167252721e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.274274985703e+01,6.587032003145e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.546940765246e+01,7.996115322949e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.877950801851e+01,9.401628239231e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.279789435644e+01,1.109176892816e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.767612370754e+01,1.299352181367e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.359818286284e+01,1.509649755648e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.078742758969e+01,1.743057277029e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.951500669473e+01,1.982230951657e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.011008864406e+01,2.192337788037e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,7.297227644686e+01,2.408983574715e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,8.858667904101e+01,2.633883541367e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.075422076113e+02,2.840944316688e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.305537869023e+02,3.055292536180e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.584893192461e+02,3.274062326037e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.924024182760e+02,3.505837131559e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.335721469090e+02,3.755766186587e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.835512583497e+02,3.967678954895e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.442247595686e+02,4.223009478914e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.178810060294e+02,4.504630710150e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.072980090654e+02,4.781437006257e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.158482110660e+02,5.073558785049e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,7.476256801638e+02,5.400526404063e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,9.076005216818e+02,5.769212931482e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.101806330110e+03,6.171609105059e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.337567751526e+03,6.627898088549e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.623776739189e+03,7.136119462844e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.971227921518e+03,7.710546306225e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.393025731180e+03,8.359168877418e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.905078650511e+03,9.072879739808e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.526699214175e+03,9.856086323566e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.281332398719e+03,1.071737555642e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.197439870872e+03,1.163567011166e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.309573444802e+03,1.256364961338e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,7.659678234752e+03,1.354297066110e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,9.298674652605e+03,1.473583555726e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.128837891685e+04,1.625326390727e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.370383450663e+04,1.804411319940e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.663614249384e+04,2.004528827364e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.019589750164e+04,2.229791696289e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.451735887979e+04,2.487878351426e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.976351441631e+04,2.769890024051e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.613222756796e+04,3.052412483359e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.386370005780e+04,3.281495207985e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.324953129838e+04,3.349018075880e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.464371632490e+04,3.399312700590e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,7.847599703515e+04,3.431862669311e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,9.526807029020e+04,3.427057212182e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.156532641790e+05,3.391080869245e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.404004245548e+05,3.321031007471e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.704429127453e+05,3.229302925760e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.069138081115e+05,3.142065498138e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.511886431510e+05,3.052257671939e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.049372829387e+05,2.943915549306e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.701869055846e+05,2.843822719628e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.493984590722e+05,2.758062335043e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.455594781169e+05,2.657576074998e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.622967617148e+05,2.546698930123e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,8.040131611168e+05,2.448183965546e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,9.760536373079e+05,2.339902782966e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.184906851001e+06,2.206403375262e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.438449888288e+06,2.067161490304e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.746245352002e+06,1.913654034913e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.119902023850e+06,1.726080747706e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.573512700017e+06,1.515568608870e-25
