kind,solver,t_obs_s,nearest_track_time_s,gamma_e,dnde,ratio_dg_to_fullhide
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.00000000e+00,2.69932043e+39,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.63838409e+00,3.65449928e+39,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.41261293e+00,5.04417930e+39,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,5.35159355e+00,6.92215351e+39,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,6.49038428e+00,9.45475247e+39,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,7.87150363e+00,1.28834632e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,9.54651785e+00,1.75614353e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.15779662e+01,2.40074349e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.40416960e+01,3.30009709e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.70296945e+01,4.57309380e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.06535231e+01,6.40308239e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.50484833e+01,9.07521520e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.03786677e+01,1.30357427e+41,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.68430870e+01,1.89860498e+41,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.46831005e+01,2.80313477e+41,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,5.41914274e+01,4.19145984e+41,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,6.57230757e+01,6.33818203e+41,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,7.97085976e+01,9.67469928e+41,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,9.66701644e+01,1.48754894e+42,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.17241063e+02,2.29879339e+42,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.42189339e+02,3.56240688e+42,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.72446476e+02,5.52417204e+42,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.09142172e+02,8.55151184e+42,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.53646517e+02,1.31837852e+43,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.07621150e+02,2.01988469e+43,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.73081299e+02,3.06955675e+43,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.52471021e+02,4.61929399e+43,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,5.48754454e+02,6.87456602e+43,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,6.65526492e+02,1.01079145e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,8.07146999e+02,1.46758597e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,9.78903599e+02,2.10437476e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.18720909e+03,2.98302217e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.43984089e+03,4.18990412e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.74623140e+03,5.85677966e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.11782018e+03,8.20681119e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.56848108e+03,1.16468121e+45,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.11504023e+03,1.69881726e+45,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.77790427e+03,2.59637062e+45,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.58182226e+03,4.24840790e+45,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,5.55680973e+03,7.57806471e+45,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,6.73926937e+03,1.48037038e+46,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,8.17335015e+03,3.10470314e+46,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,9.91259571e+03,5.82724658e+46,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.20219435e+04,5.56712334e+46,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.45801493e+04,4.16356380e+46,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.76827278e+04,2.80113986e+46,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.14455184e+04,1.79286877e+46,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.60090110e+04,1.12311631e+46,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.15435906e+04,6.96772344e+45,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.82558994e+04,4.29324946e+45,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.63965519e+04,2.62677367e+45,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,5.62694921e+04,1.59481765e+45,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,6.82433415e+04,9.60267328e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27651627e+04,5.73131866e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.00377150e+05,3.38955738e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.21736876e+05,1.98594635e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.47641837e+05,1.15268035e+44,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.79059237e+05,6.62856055e+43,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.17162093e+05,3.77761583e+43,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.63373034e+05,2.13443574e+43,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.19417419e+05,1.19630412e+43,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.87387752e+05,6.65510262e+42,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.69821811e+05,3.67710790e+42,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,5.69797400e+05,2.01924330e+42,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,6.91047265e+05,1.10277366e+42,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,8.38098457e+05,5.99339232e+41,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.01644136e+06,3.24358649e+41,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.23273470e+06,1.74915464e+41,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.49505410e+06,9.40415327e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.81319368e+06,5.04252834e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.19903168e+06,2.69712015e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.66697396e+06,1.43932657e+40,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.23449187e+06,7.66521872e+39,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.92277459e+06,4.07466293e+39,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.75752022e+06,2.16240585e+39,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,5.76989529e+06,1.14581371e+39,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,6.99769840e+06,6.06250147e+38,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,8.48677151e+06,3.20300651e+38,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.02927115e+07,1.68972430e+38,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.24829459e+07,8.89989871e+37,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.51392506e+07,4.67946837e+37,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.83608028e+07,2.45554437e+37,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.22678842e+07,1.28556659e+37,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.70063719e+07,6.71178270e+36,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.27531846e+07,3.49224337e+36,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.97228885e+07,1.80932686e+36,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.81757085e+07,9.32281531e+35,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,5.84272438e+07,4.76913834e+35,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,7.08602514e+07,2.41595252e+35,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,8.59389371e+07,1.20728516e+35,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.04226287e+08,5.91453499e+34,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.26405088e+08,2.81085576e+34,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.53303421e+08,1.27033750e+34,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.85925575e+08,5.24663377e+33,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.25489552e+08,2.02440665e+33,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.73472532e+08,7.40686664e+32,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.31666037e+08,2.53962638e+32,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.02242810e+08,8.05735206e+31,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.87837947e+08,2.32921017e+31,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,5.91647274e+08,6.02128679e+30,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,7.17546676e+08,1.36067620e+30,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,8.70236803e+08,2.61448546e+29,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.05541858e+09,4.12992567e+28,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.28000606e+09,5.14709099e+27,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.55238456e+09,4.81316372e+26,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.88272375e+09,3.17602563e+25,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.28335738e+09,1.37188838e+24,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.76924373e+09,3.53899429e+22,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.35852410e+09,4.87392400e+20,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.07320022e+09,3.12522932e+18,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,4.93995562e+09,7.89551174e+15,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,5.99115198e+09,6.41117200e+12,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,7.26603734e+09,1.30538156e+09,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,8.81221155e+09,4.92624766e+04,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.06874034e+10,2.38710470e-01,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.29616262e+10,9.52364576e-08,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.57197915e+10,1.82840025e-15,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,1.90648798e+10,8.82699775e-25,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.31217851e+10,4.88638947e-36,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,2.80419783e+10,1.19786932e-49,
spectrum,fullhide_1d,1.00000000e+03,1.07221816e+03,3.40091625e+10,4.42916856e-60,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.00000000e+00,1.06815439e+41,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.63838409e+00,1.46640549e+41,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,4.41261293e+00,2.08838377e+41,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,5.35159355e+00,3.01295609e+41,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,6.49038428e+00,4.39813548e+41,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,7.87150363e+00,6.49353343e+41,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,9.54651785e+00,9.68875698e+41,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.15779662e+01,1.45903354e+42,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.40416960e+01,2.21390761e+42,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.70296945e+01,3.37867462e+42,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.06535231e+01,5.17586809e+42,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.50484833e+01,7.94387551e+42,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.03786677e+01,1.21929551e+43,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.68430870e+01,1.86787974e+43,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,4.46831005e+01,2.85079850e+43,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,5.41914274e+01,4.32817909e+43,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,6.57230757e+01,6.52922285e+43,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,7.97085976e+01,9.77972233e+43,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,9.66701644e+01,1.45435034e+44,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.17241063e+02,2.14933681e+44,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.42189339e+02,3.16586444e+44,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.72446476e+02,4.67639419e+44,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.09142172e+02,7.00405998e+44,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.53646517e+02,1.08493049e+45,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.07621150e+02,1.79479376e+45,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.73081299e+02,3.30895271e+45,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,4.52471021e+02,7.06428924e+45,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,5.48754454e+02,1.76772272e+46,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,6.65526492e+02,5.08296791e+46,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,8.07146999e+02,1.61828921e+47,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,9.78903599e+02,5.47232121e+47,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.18720909e+03,1.88597162e+48,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.43984089e+03,6.28962447e+48,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.74623140e+03,8.40715874e+48,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.11782018e+03,7.50112422e+48,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.56848108e+03,5.78042641e+48,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.11504023e+03,4.13087505e+48,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.77790427e+03,2.82421735e+48,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,4.58182226e+03,1.87829942e+48,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,5.55680973e+03,1.22726460e+48,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,6.73926937e+03,7.92815806e+47,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,8.17335015e+03,5.08511373e+47,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,9.91259571e+03,3.24711556e+47,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.20219435e+04,2.06739166e+47,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.45801493e+04,1.31323494e+47,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.76827278e+04,8.32275143e+46,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.14455184e+04,5.26102001e+46,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.60090110e+04,3.31561164e+46,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.15435906e+04,2.08223561e+46,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.82558994e+04,1.30235305e+46,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,4.63965519e+04,8.10777924e+45,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,5.62694921e+04,5.02084765e+45,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,6.82433415e+04,3.09082335e+45,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,8.27651627e+04,1.89022859e+45,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.00377150e+05,1.14770299e+45,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.21736876e+05,6.91471228e+44,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.47641837e+05,4.13177359e+44,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.79059237e+05,2.44765488e+44,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.17162093e+05,1.43715300e+44,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.63373034e+05,8.36265107e+43,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.19417419e+05,4.82265645e+43,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.87387752e+05,2.75680943e+43,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,4.69821811e+05,1.56257471e+43,
