case,solver,component,band,frequency_hz,time_s,flux_mjy
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.000000000000e-01,1.299426689369e-30
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.213977189070e-01,2.174897325460e-30
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.473740615582e-01,3.752877640651e-30
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.789087489923e-01,6.672683361761e-30
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.171911402017e-01,1.211314544948e-29
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.636650898730e-01,2.231169008798e-29
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,3.200834046600e-01,4.153800219009e-29
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,3.885739518571e-01,7.848938376806e-29
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,4.717199138213e-01,1.491827118211e-28
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,5.726572150092e-01,2.834284703717e-28
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,6.951927961776e-01,5.318332003771e-28
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,8.439481965654e-01,9.710351185817e-28
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.024533859387e+00,1.702139748715e-27
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.243760734726e+00,2.830262164710e-27
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.509897160618e+00,4.437861383706e-27
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.832980710832e+00,6.535024635239e-27
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.225196770956e+00,9.044795756473e-27
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,2.701338121133e+00,1.187081687019e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,3.279362859021e+00,1.491666965791e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,3.981071705535e+00,1.808122516319e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,4.832930238572e+00,2.121045394717e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,5.867067065993e+00,2.424803214163e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,7.122485584860e+00,2.721930906362e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,8.646535029500e+00,3.007691476755e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.049669629031e+01,3.282278617917e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.274274985703e+01,3.542859779193e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.546940765246e+01,3.780392182031e-26
nojump,fullhide_1d,total,10 GHz,1.000000000000e+10,1.877950801851e+01,4.007927243299e-26
