case,solver,band,jump_over_nojump_p16,p50,p84,min,max
moderate,fullhide_1d,10 GHz,9.62317325e-01,1.00030579e+00,1.35587305e+00,8.96790447e-01,1.87581873e+00
moderate,fullhide_1d,R band,8.52307494e-01,9.99391406e-01,1.25386022e+00,6.19824643e-01,1.74767384e+00
moderate,fullhide_1d,1 keV,8.10858134e-01,9.99877903e-01,1.02050961e+00,4.07668789e-01,1.22454556e+00
moderate,fullhide_1d,100 MeV,8.72215982e-01,9.71046439e-01,9.99916570e-01,7.59716247e-01,1.08034357e+00
moderate,dg_1d,10 GHz,9.78464965e-01,1.00015111e+00,1.39179399e+00,9.14821725e-01,1.90831733e+00
moderate,dg_1d,R band,8.70421109e-01,9.99981769e-01,1.28062649e+00,6.10385646e-01,1.78212689e+00
moderate,dg_1d,1 keV,8.11833703e-01,9.99994749e-01,1.04019984e+00,3.92962343e-01,1.30057969e+00
moderate,dg_1d,100 MeV,8.71362598e-01,9.79423093e-01,1.00010657e+00,7.48725455e-01,1.13424189e+00
strong,fullhide_1d,10 GHz,9.58482314e-01,1.00436719e+00,2.15115593e+00,8.37735528e-01,2.76071008e+00
strong,fullhide_1d,R band,6.49417447e-01,9.97581550e-01,1.36264138e+00,2.86917658e-01,2.46298382e+00
strong,fullhide_1d,1 keV,3.52314832e-01,1.00004007e+00,1.02912519e+00,1.53659907e-01,1.46457365e+00
strong,fullhide_1d,100 MeV,8.21839052e-01,9.79389511e-01,9.99644639e-01,4.92368639e-01,1.81552596e+00
strong,dg_1d,10 GHz,9.92710124e-01,1.03320641e+00,2.27006119e+00,8.06650790e-01,2.85590546e+00
strong,dg_1d,R band,6.49960188e-01,9.99954943e-01,1.49807517e+00,2.53229714e-01,2.59463615e+00
strong,dg_1d,1 keV,3.62716074e-01,1.00001271e+00,1.05504541e+00,1.51553958e-01,1.72336394e+00
strong,dg_1d,100 MeV,8.67231905e-01,9.91480591e-01,1.00045041e+00,4.79317422e-01,2.19269790e+00
