solver,component,band,frequency_hz,time_s,flux_mjy
fullhide_1d,total,10 GHz,1.000000000000e+10,1.000000000000e-01,1.300174289462e-30
fullhide_1d,total,10 GHz,1.000000000000e+10,1.213977189070e-01,2.175869803908e-30
fullhide_1d,total,10 GHz,1.000000000000e+10,1.473740615582e-01,3.754173911361e-30
fullhide_1d,total,10 GHz,1.000000000000e+10,1.789087489923e-01,6.674459513517e-30
fullhide_1d,total,10 GHz,1.000000000000e+10,2.171911402017e-01,1.211564473204e-29
fullhide_1d,total,10 GHz,1.000000000000e+10,2.636650898730e-01,2.231529612686e-29
fullhide_1d,total,10 GHz,1.000000000000e+10,3.200834046600e-01,4.154332755688e-29
fullhide_1d,total,10 GHz,1.000000000000e+10,3.885739518571e-01,7.849743949358e-29
fullhide_1d,total,10 GHz,1.000000000000e+10,4.717199138213e-01,1.491951591727e-28
fullhide_1d,total,10 GHz,1.000000000000e+10,5.726572150092e-01,2.834481151638e-28
fullhide_1d,total,10 GHz,1.000000000000e+10,6.951927961776e-01,5.318648701091e-28
fullhide_1d,total,10 GHz,1.000000000000e+10,8.439481965654e-01,9.710813392214e-28
fullhide_1d,total,10 GHz,1.000000000000e+10,1.024533859387e+00,1.702175541479e-27
fullhide_1d,total,10 GHz,1.000000000000e+10,1.243760734726e+00,2.830276622995e-27
fullhide_1d,total,10 GHz,1.000000000000e+10,1.509897160618e+00,4.437866534614e-27
fullhide_1d,total,10 GHz,1.000000000000e+10,1.832980710832e+00,6.535050812362e-27
fullhide_1d,total,10 GHz,1.000000000000e+10,2.225196770956e+00,9.044864223339e-27
fullhide_1d,total,10 GHz,1.000000000000e+10,2.701338121133e+00,1.187094224328e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,3.279362859021e+00,1.491680718160e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,3.981071705535e+00,1.808133925208e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,4.832930238572e+00,2.121054696731e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,5.867067065993e+00,2.424811504508e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,7.122485584860e+00,2.721920593262e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,8.646535029500e+00,3.007629410508e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.049669629031e+01,3.282024819918e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.274274985703e+01,3.541810869463e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.546940765246e+01,3.776724619050e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.877950801851e+01,3.996497834959e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,2.279789435644e+01,4.192706053315e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,2.767612370754e+01,4.358459881334e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,3.359818286284e+01,4.485276366107e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,4.078742758969e+01,4.578989298634e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,4.951500669473e+01,4.651859714660e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,6.011008864406e+01,4.725584848612e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,7.297227644686e+01,4.818895815761e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,8.858667904101e+01,4.946472306301e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.075422076113e+02,5.121168861553e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.305537869023e+02,5.349277481236e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.584893192461e+02,5.629325471951e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,1.924024182760e+02,5.985865763146e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,2.335721469090e+02,6.411220142359e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,2.835512583497e+02,6.907081308351e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,3.442247595686e+02,7.473282223999e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,4.178810060294e+02,8.112842925924e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,5.072980090654e+02,8.808459279932e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,6.158482110660e+02,9.551612558283e-26
fullhide_1d,total,10 GHz,1.000000000000e+10,7.476256801638e+02,1.033089705508e-25
fullhide_1d,total,10 GHz,1.000000000000e+10,9.076005216818e+02,1.117146343098e-25
fullhide_1d,total,10 GHz,1.000000000000e+10,1.101806330110e+03,1.213170566141e-25
fullhide_1d,total,10 GHz,1.000000000000e+10,1.337567751526e+03,1.325590587798e-25
fullhide_1d,total,10 GHz,1.000000000000e+10,1.623776739189e+03,1.452970530149e-25
fullhide_1d,total,10 GHz,1.000000000000e+10,1.971227921518e+03,1.588920024800e-25
fullhide_1d,total,10 GHz,1.000000000000e+10,2.393025731180e+03,1.724120234613e-25
