scenario,solver,band,ssc_frac_p50,ssc_frac_p84,ssc_frac_max,ssc_frac_at_total_peak
ism_continuous_jumps,fullhide_1d,10 GHz,5.00112160e-15,1.16492510e-12,2.02325651e-10,1.72511575e-14
ism_continuous_jumps,fullhide_1d,R band,3.65092544e-12,6.78610095e-07,2.19374562e-04,8.97253633e-12
ism_continuous_jumps,fullhide_1d,1 keV,7.01786358e-10,2.28936716e-03,1.22181565e-02,1.49713577e-11
ism_continuous_jumps,fullhide_1d,100 MeV,8.49671510e-03,8.97378779e-01,9.53795298e-01,4.63345422e-08
ism_continuous_jumps,dg_1d,10 GHz,2.51816597e-15,1.07564428e-12,1.79306716e-10,1.06020826e-14
ism_continuous_jumps,dg_1d,R band,2.97650839e-12,7.18439645e-07,2.71085377e-04,7.55992927e-12
ism_continuous_jumps,dg_1d,1 keV,7.81138547e-10,2.97025173e-03,1.44138364e-02,1.17688832e-11
ism_continuous_jumps,dg_1d,100 MeV,1.14093808e-02,9.09004429e-01,9.59487052e-01,3.73902411e-08
wind_ism_jump,fullhide_1d,10 GHz,3.82789344e-10,8.51102039e-10,9.08397055e-10,1.74535504e-10
wind_ism_jump,fullhide_1d,R band,5.34491040e-08,2.83301407e-06,1.74860883e-04,1.26730553e-09
wind_ism_jump,fullhide_1d,1 keV,2.11636834e-05,4.60873801e-03,9.72713618e-03,4.41400591e-08
wind_ism_jump,fullhide_1d,100 MeV,7.43913319e-01,9.77678624e-01,9.88337452e-01,9.61923177e-01
wind_ism_jump,dg_1d,10 GHz,4.33018631e-10,6.62109875e-10,7.64996273e-10,1.82233139e-10
wind_ism_jump,dg_1d,R band,9.77801111e-08,3.71289488e-06,2.01182036e-04,1.05633510e-09
wind_ism_jump,dg_1d,1 keV,4.10498454e-05,5.23754980e-03,1.25144933e-02,4.03665423e-08
wind_ism_jump,dg_1d,100 MeV,7.69735679e-01,9.82032581e-01,9.96452617e-01,9.96452617e-01
