scenario,solver,component,band,frequency_hz,time_s,flux_mjy
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.000000000000e-01,1.299783232493e-30
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.213977189070e-01,2.175359707148e-30
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.473740615582e-01,3.753491941447e-30
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.789087489923e-01,6.673522167809e-30
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.171911402017e-01,1.211432173967e-29
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.636650898730e-01,2.231338184874e-29
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.200834046600e-01,4.154049335508e-29
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.885739518571e-01,7.849314238822e-29
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.717199138213e-01,1.491885057480e-28
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.726572150092e-01,2.834375930699e-28
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.951927961776e-01,5.318478699240e-28
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,8.439481965654e-01,9.710565019469e-28
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.024533859387e+00,1.702156511147e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.243760734726e+00,2.830269559058e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.509897160618e+00,4.437865001143e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.832980710832e+00,6.535038224451e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.225196770956e+00,9.044829059521e-27
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.701338121133e+00,1.187087662157e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.279362859021e+00,1.491673579107e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.981071705535e+00,1.808128186674e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.832930238572e+00,2.121050326753e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.867067065993e+00,2.424808564258e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,7.122485584860e+00,2.721932313669e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,8.646535029500e+00,3.007690038155e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.049669629031e+01,3.282278216453e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.274274985703e+01,3.542864359733e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.546940765246e+01,3.780398993827e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.877950801851e+01,4.007933745348e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.279789435644e+01,4.223378301857e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.767612370754e+01,4.428197582006e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.359818286284e+01,4.622064298818e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.078742758969e+01,4.803849589822e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.951500669473e+01,4.953071370918e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.011008864406e+01,4.987584232775e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,7.297227644686e+01,4.921743644401e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,8.858667904101e+01,4.886903545584e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.075422076113e+02,4.921345981094e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.305537869023e+02,4.952575957787e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.584893192461e+02,5.013218548851e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.924024182760e+02,5.137231018645e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.335721469090e+02,5.381248634965e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.835512583497e+02,5.741528398739e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.442247595686e+02,6.182862484667e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.178810060294e+02,6.696167219163e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.072980090654e+02,7.266913042957e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.158482110660e+02,7.863500848009e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,7.476256801638e+02,8.455220442733e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,9.076005216818e+02,9.041135844296e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.101806330110e+03,9.588717810220e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.337567751526e+03,1.010707731084e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.623776739189e+03,1.058612140166e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.971227921518e+03,1.103551061896e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.393025731180e+03,1.148018396428e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.905078650511e+03,1.191111819650e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.526699214175e+03,1.234548293604e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.281332398719e+03,1.281855145958e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.197439870872e+03,1.338012444864e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.309573444802e+03,1.372406525300e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,7.659678234752e+03,1.408534495034e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,9.298674652605e+03,1.446753481713e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.128837891685e+04,1.464496979143e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.370383450663e+04,1.457481621016e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.663614249384e+04,1.425080111952e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.019589750164e+04,1.377666045776e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.451735887979e+04,1.347038090079e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.976351441631e+04,1.287119731385e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.613222756796e+04,1.227432190339e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.386370005780e+04,1.171361122269e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.324953129838e+04,1.119355211751e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.464371632490e+04,1.075581642569e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,7.847599703515e+04,1.035989369027e-25
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,9.526807029020e+04,9.962844216281e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.156532641790e+05,9.634949944028e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.404004245548e+05,9.318809088736e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.704429127453e+05,8.831604957612e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.069138081115e+05,8.424755358587e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.511886431510e+05,8.504090210885e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.049372829387e+05,8.979243623594e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.701869055846e+05,9.266604464134e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.493984590722e+05,9.010463268135e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.455594781169e+05,8.834753271929e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.622967617148e+05,9.044046337194e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,8.040131611168e+05,9.315325470652e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,9.760536373079e+05,9.488095250518e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.184906851001e+06,9.574703168311e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.438449888288e+06,9.630711518399e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.746245352002e+06,9.622076708120e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.119902023850e+06,9.461775472529e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,2.573512700017e+06,9.203531788609e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.124185713603e+06,8.840541183362e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,3.792690190732e+06,8.226466795721e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,4.604239376759e+06,7.429537480230e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,5.589441576403e+06,6.500757622024e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,6.785454573394e+06,5.510815422905e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,8.237387069571e+06,4.555318898710e-26
ism_continuous_jumps,fullhide_1d,total,10 GHz,1.000000000000e+10,1.000000000000e+07,3.695340261811e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.000000000000e-01,4.643483084187e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.213977189070e-01,7.771921865102e-29
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.473740615582e-01,1.341154372153e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.789087489923e-01,2.384946615185e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.171911402017e-01,4.330711767516e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.636650898730e-01,7.980915853391e-28
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.200834046600e-01,1.487062832147e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.885739518571e-01,2.813941876216e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.717199138213e-01,5.360991928493e-27
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.726572150092e-01,1.022576967548e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.951927961776e-01,1.930150394234e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,8.439481965654e-01,3.552641017672e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.024533859387e+00,6.288658709280e-26
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.243760734726e+00,1.056244656915e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.509897160618e+00,1.669614565514e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.832980710832e+00,2.478071447356e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.225196770956e+00,3.446827528881e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.701338121133e+00,4.524828826375e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.279362859021e+00,5.658766157301e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.981071705535e+00,6.798871912759e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.832930238572e+00,7.910218765292e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.867067065993e+00,8.977243965274e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,7.122485584860e+00,9.987757663601e-25
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,8.646535029500e+00,1.092469038251e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.049669629031e+01,1.178738153855e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.274274985703e+01,1.258848992480e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.546940765246e+01,1.331579321244e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.877950801851e+01,1.398900257389e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.279789435644e+01,1.460150045318e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.767612370754e+01,1.515687384425e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.359818286284e+01,1.565648648182e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.078742758969e+01,1.611867868011e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.951500669473e+01,1.646796065127e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.011008864406e+01,1.643815893581e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,7.297227644686e+01,1.610789434665e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,8.858667904101e+01,1.590902513091e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.075422076113e+02,1.594347456492e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.305537869023e+02,1.595239249496e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.584893192461e+02,1.603646800083e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.924024182760e+02,1.630603608326e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.335721469090e+02,1.695070429993e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,2.835512583497e+02,1.794977706236e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,3.442247595686e+02,1.917720473690e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,4.178810060294e+02,2.058986509102e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,5.072980090654e+02,2.213821329199e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,6.158482110660e+02,2.370484486834e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,7.476256801638e+02,2.518160171550e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,9.076005216818e+02,2.655091633671e-24
ism_continuous_jumps,fullhide_1d,total,R band,4.560000000000e+14,1.101806330110e+03,2.770843691133e-24
