scenario,t_obs_s,gamma_e,ratio_dg_to_fullhide
multi_density_jump,1.00000000e+03,3.00000000e+00,1.30081683e+00
multi_density_jump,1.00000000e+03,3.62733369e+00,
multi_density_jump,1.00000000e+03,4.38584989e+00,5.77703976e-01
multi_density_jump,1.00000000e+03,5.30298036e+00,
multi_density_jump,1.00000000e+03,6.41189310e+00,
multi_density_jump,1.00000000e+03,7.75269195e+00,5.17599362e-01
multi_density_jump,1.00000000e+03,9.37386689e+00,7.59616182e-01
multi_density_jump,1.00000000e+03,1.13340477e+01,2.49854008e+00
multi_density_jump,1.00000000e+03,1.37041244e+01,
multi_density_jump,1.00000000e+03,1.65698107e+01,
multi_density_jump,1.00000000e+03,2.00347441e+01,8.93842582e-01
multi_density_jump,1.00000000e+03,2.42242341e+01,
multi_density_jump,1.00000000e+03,2.92897935e+01,2.35377092e-01
multi_density_jump,1.00000000e+03,3.54146182e+01,8.65815061e+00
multi_density_jump,1.00000000e+03,4.28202125e+01,6.60913066e+00
multi_density_jump,1.00000000e+03,5.17743998e+01,2.02299222e+00
multi_density_jump,1.00000000e+03,6.26010082e+01,
multi_density_jump,1.00000000e+03,7.56915820e+01,3.02519419e+00
multi_density_jump,1.00000000e+03,9.15195418e+01,
multi_density_jump,1.00000000e+03,1.10657306e+02,
multi_density_jump,1.00000000e+03,1.33796991e+02,
multi_density_jump,1.00000000e+03,1.61775444e+02,
multi_density_jump,1.00000000e+03,1.95604506e+02,8.68685260e+00
multi_density_jump,1.00000000e+03,2.36507605e+02,
multi_density_jump,1.00000000e+03,2.85964001e+02,1.66023168e+00
multi_density_jump,1.00000000e+03,3.45762284e+02,3.89444182e-01
multi_density_jump,1.00000000e+03,4.18065061e+02,3.34499929e-02
multi_density_jump,1.00000000e+03,5.05487160e+02,2.85066059e-01
multi_density_jump,1.00000000e+03,6.11190201e+02,4.15843773e+00
multi_density_jump,1.00000000e+03,7.38996935e+02,
multi_density_jump,1.00000000e+03,8.93529493e+02,1.41212850e-01
multi_density_jump,1.00000000e+03,1.08037654e+03,4.91326535e-01
multi_density_jump,1.00000000e+03,1.30629541e+03,
multi_density_jump,1.00000000e+03,1.57945645e+03,
multi_density_jump,1.00000000e+03,1.90973853e+03,6.51315890e-01
