scenario,solver,t_obs_s,nearest_track_time_s,nearest_radius_cm,gamma_e,dnde,gamma2_dnde
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.00000000e+00,4.09225763e+39,3.68303187e+40
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.62733369e+00,5.53311891e+39,7.28022869e+40
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,4.38584989e+00,7.65208365e+39,1.47193027e+41
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,5.30298036e+00,1.04303982e+40,2.93319494e+41
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,6.41189310e+00,1.39782074e+40,5.74677280e+41
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,7.75269195e+00,1.84182452e+40,1.10701449e+42
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,9.37386689e+00,2.38650224e+40,2.09700473e+42
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.13340477e+01,3.04187010e+40,3.90760573e+42
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.37041244e+01,3.81632521e+40,7.16717418e+42
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.65698107e+01,4.71735173e+40,1.29518960e+43
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.00347441e+01,5.75378428e+40,2.30951707e+43
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.42242341e+01,6.94057913e+40,4.07282565e+43
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.92897935e+01,8.30744856e+40,7.12689368e+43
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.54146182e+01,9.91399561e+40,1.24340855e+44
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,4.28202125e+01,1.18681325e+41,2.17610588e+44
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,5.17743998e+01,1.43475105e+41,3.84597712e+44
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,6.26010082e+01,1.76472594e+41,6.91576019e+44
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,7.56915820e+01,2.22488743e+41,1.27468597e+45
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,9.15195418e+01,2.89290427e+41,2.42304644e+45
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.10657306e+02,3.89347587e+41,4.76757651e+45
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.33796991e+02,5.42673297e+41,9.71473916e+45
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.61775444e+02,7.81409032e+41,2.04504858e+46
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,1.95604506e+02,1.15715339e+42,4.42739880e+46
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.36507605e+02,1.75255125e+42,9.80304387e+46
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,2.85964001e+02,2.69943042e+42,2.20747029e+47
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,3.45762284e+02,4.20687229e+42,5.02938134e+47
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,4.18065061e+02,6.60409968e+42,1.15425394e+48
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,5.05487160e+02,1.04049977e+43,2.65865660e+48
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,6.11190201e+02,1.64050031e+43,6.12814568e+48
multi_density_jump,fullhide_1d,1.00000000e+03,1.07221816e+03,8.27650672e+16,7.38996935e+02,2.58141001e+43,1.40975052e+49
