scenario,t_obs_s,gamma_e,ratio_dg_to_fullhide
wind,1.00000000e+03,3.00000000e+00,
wind,1.00000000e+03,3.58704757e+00,3.92052429e-01
wind,1.00000000e+03,4.28897008e+00,
wind,1.00000000e+03,5.12824657e+00,3.22442732e-01
wind,1.00000000e+03,6.13175479e+00,
wind,1.00000000e+03,7.33163203e+00,3.92317441e-01
wind,1.00000000e+03,8.76630428e+00,
wind,1.00000000e+03,1.04817168e+01,3.84912499e-01
wind,1.00000000e+03,1.25328056e+01,
wind,1.00000000e+03,1.49852566e+01,3.38721371e-01
wind,1.00000000e+03,1.79176094e+01,
wind,1.00000000e+03,2.14237724e+01,2.36750884e-01
wind,1.00000000e+03,2.56160302e+01,
wind,1.00000000e+03,3.06286397e+01,3.61161249e-01
wind,1.00000000e+03,3.66221291e+01,6.23417684e+00
wind,1.00000000e+03,4.37884397e+01,6.66054765e+00
wind,1.00000000e+03,5.23570720e+01,2.28956210e+00
wind,1.00000000e+03,6.26024360e+01,
wind,1.00000000e+03,7.48526385e+01,
wind,1.00000000e+03,8.94999916e+01,2.41183415e-02
wind,1.00000000e+03,1.07013576e+02,
wind,1.00000000e+03,1.27954262e+02,8.16706802e-02
wind,1.00000000e+03,1.52992675e+02,
wind,1.00000000e+03,1.82930667e+02,9.20035426e-02
wind,1.00000000e+03,2.18727002e+02,1.49340570e-01
wind,1.00000000e+03,2.61528053e+02,3.38407258e-01
wind,1.00000000e+03,3.12704522e+02,4.84701646e-01
wind,1.00000000e+03,3.73895332e+02,6.28415073e-01
wind,1.00000000e+03,4.47060114e+02,7.17294113e-01
wind,1.00000000e+03,5.34541964e+02,7.64819128e-01
wind,1.00000000e+03,6.39142484e+02,7.86003771e-01
wind,1.00000000e+03,7.64211498e+02,8.05263138e-01
wind,1.00000000e+03,9.13754331e+02,8.18422839e-01
wind,1.00000000e+03,1.09256008e+03,8.26281832e-01
wind,1.00000000e+03,1.30635500e+03,8.33772878e-01
wind,1.00000000e+03,1.56198584e+03,8.30429082e-01
wind,1.00000000e+03,1.86763917e+03,8.40196336e-01
wind,1.00000000e+03,2.23310351e+03,8.40773320e-01
wind,1.00000000e+03,2.67008283e+03,8.39967049e-01
wind,1.00000000e+03,3.19257138e+03,8.60801681e-01
wind,1.00000000e+03,3.81730180e+03,9.25726187e-01
wind,1.00000000e+03,4.56428104e+03,1.09418400e+00
wind,1.00000000e+03,5.45743107e+03,1.60454213e+00
wind,1.00000000e+03,6.52535495e+03,1.14337751e+00
wind,1.00000000e+03,7.80225286e+03,9.36159356e-01
wind,1.00000000e+03,9.32901738e+03,8.98887860e-01
wind,1.00000000e+03,1.11545430e+04,8.90951160e-01
wind,1.00000000e+03,1.33372921e+04,8.85715027e-01
wind,1.00000000e+03,1.59471671e+04,8.80580034e-01
wind,1.00000000e+03,1.90677490e+04,8.75852895e-01
wind,1.00000000e+03,2.27989742e+04,8.71263419e-01
wind,1.00000000e+03,2.72603350e+04,8.67030137e-01
wind,1.00000000e+03,3.25947061e+04,8.62895940e-01
wind,1.00000000e+03,3.89729204e+04,8.59473682e-01
wind,1.00000000e+03,4.65992398e+04,8.55781782e-01
wind,1.00000000e+03,5.57178966e+04,8.52353488e-01
wind,1.00000000e+03,6.66209151e+04,8.48714122e-01
wind,1.00000000e+03,7.96574638e+04,8.44886311e-01
wind,1.00000000e+03,9.52450372e+04,8.41902960e-01
wind,1.00000000e+03,1.13882826e+05,8.38764956e-01
wind,1.00000000e+03,1.36167705e+05,8.35542725e-01
wind,1.00000000e+03,1.62813345e+05,8.32449439e-01
wind,1.00000000e+03,1.94673071e+05,8.30422950e-01
wind,1.00000000e+03,2.32767189e+05,8.28961584e-01
wind,1.00000000e+03,2.78315659e+05,8.27467306e-01
wind,1.00000000e+03,3.32777169e+05,8.26119835e-01
wind,1.00000000e+03,3.97895845e+05,8.24922003e-01
wind,1.00000000e+03,4.75757108e+05,8.23930486e-01
wind,1.00000000e+03,5.68854459e+05,8.23144897e-01
wind,1.00000000e+03,6.80169334e+05,8.22562797e-01
wind,1.00000000e+03,8.13266585e+05,8.22182300e-01
