scenario,solver,t_obs_s,nearest_track_time_s,nearest_radius_cm,gamma_e,dnde,gamma2_dnde
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,3.00000000e+00,1.21138934e+47,1.09025040e+48
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,3.58704757e+00,1.55832791e+47,2.00508654e+48
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,4.28897008e+00,2.00420097e+47,3.68678067e+48
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,5.12824657e+00,2.52235974e+47,6.63353190e+48
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,6.13175479e+00,3.10365159e+47,1.16692386e+49
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,7.33163203e+00,3.73007403e+47,2.00502029e+49
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,8.76630428e+00,4.37397176e+47,3.36131378e+49
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,1.04817168e+01,4.99845993e+47,5.49162734e+49
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,1.25328056e+01,5.55946598e+47,8.73232082e+49
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,1.49852566e+01,6.00956699e+47,1.34949584e+50
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,1.79176094e+01,6.30346867e+47,2.02367017e+50
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,2.14237724e+01,6.40452939e+47,2.93953825e+50
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,2.56160302e+01,6.29128756e+47,4.12822340e+50
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,3.06286397e+01,5.96263595e+47,5.59362968e+50
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,3.66221291e+01,5.44025071e+47,7.29635730e+50
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,4.37884397e+01,4.76722746e+47,9.14081280e+50
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,5.23570720e+01,4.00282051e+47,1.09727837e+51
wind,fullhide_1d,1.00000000e+03,1.07221816e+03,5.38175455e+16,6.26024360e+01,3.21261578e+47,1.25904500e+51
