series,gamma_inverse,polarization_percent
GL99_theta_ratio_0.9,1.00000000e-02,2.00000000e+00
GL99_theta_ratio_0.9,1.30000000e-02,3.00000000e+00
GL99_theta_ratio_0.9,1.60000000e-02,3.70000000e+00
GL99_theta_ratio_0.9,2.00000000e-02,4.00000000e+00
GL99_theta_ratio_0.9,2.60000000e-02,3.30000000e+00
GL99_theta_ratio_0.9,3.50000000e-02,2.00000000e+00
GL99_theta_ratio_0.9,4.60000000e-02,4.00000000e-01
GL99_theta_ratio_0.9,5.50000000e-02,0.00000000e+00
GL99_theta_ratio_0.9,7.00000000e-02,1.40000000e+00
GL99_theta_ratio_0.9,8.50000000e-02,3.60000000e+00
GL99_theta_ratio_0.9,1.05000000e-01,6.30000000e+00
GL99_theta_ratio_0.9,1.25000000e-01,8.20000000e+00
GL99_theta_ratio_0.9,1.50000000e-01,9.40000000e+00
GL99_theta_ratio_0.9,1.80000000e-01,8.80000000e+00
GL99_theta_ratio_0.9,2.20000000e-01,7.00000000e+00
GL99_theta_ratio_0.9,2.80000000e-01,4.70000000e+00
GL99_theta_ratio_0.9,3.50000000e-01,3.00000000e+00
GL99_theta_ratio_0.9,4.50000000e-01,1.80000000e+00
GL99_geometry_reproduction,1.00000000e-02,1.08134533e+00
GL99_geometry_reproduction,1.08436311e-02,1.40782376e+00
GL99_geometry_reproduction,1.17584335e-02,1.77326471e+00
GL99_geometry_reproduction,1.27504116e-02,2.16211646e+00
GL99_geometry_reproduction,1.38260759e-02,2.55512625e+00
GL99_geometry_reproduction,1.49924867e-02,2.93185619e+00
GL99_geometry_reproduction,1.62572995e-02,3.27310337e+00
GL99_geometry_reproduction,1.76288158e-02,3.56269133e+00
GL99_geometry_reproduction,1.91160375e-02,3.78842653e+00
GL99_geometry_reproduction,2.07287259e-02,3.94229021e+00
GL99_geometry_reproduction,2.24774657e-02,4.02008043e+00
GL99_geometry_reproduction,2.43737346e-02,4.02074442e+00
GL99_geometry_reproduction,2.64299786e-02,3.94559835e+00
GL99_geometry_reproduction,2.86596938e-02,3.79756800e+00
GL99_geometry_reproduction,3.10775147e-02,3.58052476e+00
GL99_geometry_reproduction,3.36993105e-02,3.29874860e+00
GL99_geometry_reproduction,3.65422891e-02,2.95652271e+00
GL99_geometry_reproduction,3.96251103e-02,2.55785030e+00
GL99_geometry_reproduction,4.29680078e-02,2.10627885e+00
GL99_geometry_reproduction,4.65929225e-02,1.60481727e+00
GL99_geometry_reproduction,5.05236464e-02,1.05593531e+00
GL99_geometry_reproduction,5.47859783e-02,4.61640234e-01
GL99_geometry_reproduction,5.94078938e-02,1.76367561e-01
GL99_geometry_reproduction,6.44197284e-02,8.56450293e-01
GL99_geometry_reproduction,6.98543771e-02,1.57668345e+00
GL99_geometry_reproduction,7.57475095e-02,2.33437915e+00
GL99_geometry_reproduction,8.21378050e-02,3.12545950e+00
GL99_geometry_reproduction,8.90672056e-02,3.94366714e+00
GL99_geometry_reproduction,9.65811921e-02,4.77962780e+00
GL99_geometry_reproduction,1.04729082e-01,5.61983716e+00
GL99_geometry_reproduction,1.13564353e-01,6.44573783e+00
GL99_geometry_reproduction,1.23144995e-01,7.23318126e+00
GL99_geometry_reproduction,1.33533889e-01,7.95269860e+00
GL99_geometry_reproduction,1.44799224e-01,8.57105465e+00
