series,time_s,polarization_percent
Lan2023_Fig6_CaseII_q2_k0,2.19062300e+00,8.16326500e-01
Lan2023_Fig6_CaseII_q2_k0,4.87318600e+00,6.12244900e-01
Lan2023_Fig6_CaseII_q2_k0,1.11792800e+01,6.12244900e-01
Lan2023_Fig6_CaseII_q2_k0,3.08424300e+01,6.12244900e-01
Lan2023_Fig6_CaseII_q2_k0,6.75641300e+01,6.12244900e-01
Lan2023_Fig6_CaseII_q2_k0,1.48007500e+02,6.12244900e-01
Lan2023_Fig6_CaseII_q2_k0,4.34239700e+02,8.16326500e-01
Lan2023_Fig6_CaseII_q2_k0,9.36740600e+02,1.02040800e+00
Lan2023_Fig6_CaseII_q2_k0,2.05204500e+03,1.63265300e+00
Lan2023_Fig6_CaseII_q2_k0,4.03654700e+03,4.28571400e+00
Lan2023_Fig6_CaseII_q2_k0,8.44392300e+03,1.91836700e+01
Lan2023_Fig6_CaseII_q2_k0,1.29874100e+04,3.42857100e+01
Lan2023_Fig6_CaseII_q2_k0,2.51575200e+04,4.61224500e+01
Lan2023_Fig6_CaseII_q2_k0,4.87318600e+04,4.53061200e+01
Lan2023_Fig6_CaseII_q2_k0,1.22597300e+05,4.34693900e+01
Lan2023_Fig6_CaseII_q2_k0,2.48690600e+05,3.53061200e+01
Lan2023_Fig6_CaseII_q2_k0,4.19473500e+05,2.42857100e+01
Lan2023_Fig6_CaseII_q2_k0,8.00151000e+05,1.42857100e+01
Lan2023_Fig6_CaseII_q2_k0,1.69974600e+06,8.36734700e+00
Lan2023_Fig6_CaseII_q2_k0,3.66668700e+06,5.51020400e+00
Lan2023_Fig6_CaseII_q2_k0,1.01159900e+07,3.46938800e+00
Lan2023_Fig6_CaseII_q2_k0,2.05204500e+07,2.85714300e+00
Lan2023_Fig6_CaseII_q2_k0,5.16243700e+07,2.44898000e+00
Lan2023_Fig6_CaseII_q2_k0,7.35265300e+07,2.24489800e+00
ASGARD_CaseII_q2_k0,1.00000000e+00,0.00000000e+00
ASGARD_CaseII_q2_k0,1.81160919e+00,0.00000000e+00
ASGARD_CaseII_q2_k0,3.28192787e+00,0.00000000e+00
ASGARD_CaseII_q2_k0,5.94557071e+00,0.00000000e+00
ASGARD_CaseII_q2_k0,1.07710506e+01,0.00000000e+00
ASGARD_CaseII_q2_k0,1.95129342e+01,0.00000000e+00
ASGARD_CaseII_q2_k0,3.53498111e+01,7.51234520e-01
ASGARD_CaseII_q2_k0,6.40400427e+01,6.56950351e-01
ASGARD_CaseII_q2_k0,1.16015530e+02,6.59891329e-01
ASGARD_CaseII_q2_k0,2.10174801e+02,7.02318681e-01
ASGARD_CaseII_q2_k0,3.80754602e+02,7.60368893e-01
ASGARD_CaseII_q2_k0,6.89778538e+02,8.19833580e-01
ASGARD_CaseII_q2_k0,1.24960914e+03,9.89917234e-01
ASGARD_CaseII_q2_k0,2.26380341e+03,1.78407689e+00
ASGARD_CaseII_q2_k0,4.10112707e+03,5.84676036e+00
ASGARD_CaseII_q2_k0,7.42963951e+03,2.35239127e+01
ASGARD_CaseII_q2_k0,1.34596032e+04,4.70747068e+01
ASGARD_CaseII_q2_k0,2.43835410e+04,4.60937571e+01
ASGARD_CaseII_q2_k0,4.41734470e+04,4.27033309e+01
ASGARD_CaseII_q2_k0,8.00250228e+04,4.32507196e+01
ASGARD_CaseII_q2_k0,1.44974067e+05,4.40031557e+01
ASGARD_CaseII_q2_k0,2.62636353e+05,2.85515000e+01
ASGARD_CaseII_q2_k0,4.75794431e+05,1.51165783e+01
ASGARD_CaseII_q2_k0,8.61953566e+05,9.06464539e+00
ASGARD_CaseII_q2_k0,1.56152301e+06,5.98136900e+00
ASGARD_CaseII_q2_k0,2.82886943e+06,4.32586924e+00
ASGARD_CaseII_q2_k0,5.12480588e+06,3.34599361e+00
ASGARD_CaseII_q2_k0,9.28414545e+06,2.71719688e+00
ASGARD_CaseII_q2_k0,1.68192432e+07,2.36092746e+00
ASGARD_CaseII_q2_k0,3.04698957e+07,2.12503765e+00
ASGARD_CaseII_q2_k0,5.51995432e+07,1.94808609e+00
ASGARD_CaseII_q2_k0,1.00000000e+08,1.81806512e+00
