shell_index,tobs_s,radius_cm,gamma,fullhide_gamma2_dndgamma,dg_gamma2_dndgamma,dg_over_fullhide
1,2.3650391685e-01,1.0198243832e+14,1.0000000000e+00,1.9832641879e+47,1.0829732934e+47,5.4605599194e-01
1,2.3650391685e-01,1.0198243832e+14,1.1769974920e+00,1.2146760477e+47,1.5407670469e+47,1.2684592323e+00
1,2.3650391685e-01,1.0198243832e+14,1.3853230963e+00,1.8697780075e+46,4.1604996787e+46,2.2251302892e+00
1,2.3650391685e-01,1.0198243832e+14,1.6305218099e+00,7.7390038461e+45,1.1918766121e+46,1.5400904764e+00
1,2.3650391685e-01,1.0198243832e+14,1.9191200810e+00,4.3056016304e+45,5.4688535347e+45,1.2701717447e+00
1,2.3650391685e-01,1.0198243832e+14,2.2587995223e+00,2.7951614498e+45,4.2218579431e+45,1.5104164890e+00
1,2.3650391685e-01,1.0198243832e+14,2.6586013727e+00,1.9943884191e+45,2.2572138790e+45,1.1317824840e+00
1,2.3650391685e-01,1.0198243832e+14,3.1291671480e+00,1.5159373471e+45,2.2078259360e+45,1.4564097521e+00
1,2.3650391685e-01,1.0198243832e+14,3.6830218853e+00,1.2051192747e+45,1.4678566984e+45,1.2180177756e+00
1,2.3650391685e-01,1.0198243832e+14,4.3349075221e+00,9.9026245043e+44,1.2634688506e+45,1.2758929212e+00
1,2.3650391685e-01,1.0198243832e+14,5.1021752817e+00,8.3442278084e+44,1.0674830419e+45,1.2793071647e+00
1,2.3650391685e-01,1.0198243832e+14,6.0052475105e+00,7.1696043246e+44,9.1073118987e+44,1.2702670170e+00
1,2.3650391685e-01,1.0198243832e+14,7.0681612589e+00,6.2559449257e+44,7.9101572309e+44,1.2644224533e+00
1,2.3650391685e-01,1.0198243832e+14,8.3192080750e+00,5.5263804945e+44,6.9774931877e+44,1.2625792224e+00
1,2.3650391685e-01,1.0198243832e+14,9.7916870400e+00,4.9307541430e+44,6.2296867206e+44,1.2634348702e+00
1,2.3650391685e-01,1.0198243832e+14,1.1524791089e+01,4.4351823327e+44,5.6284076890e+44,1.2690363703e+00
1,2.3650391685e-01,1.0198243832e+14,1.3564650208e+01,4.0160914995e+44,5.0682776581e+44,1.2619925763e+00
1,2.3650391685e-01,1.0198243832e+14,1.5965559275e+01,3.6566613490e+44,4.6256728084e+44,1.2649989613e+00
1,2.3650391685e-01,1.0198243832e+14,1.8791423225e+01,3.3446236886e+44,4.2158174015e+44,1.2604758544e+00
1,2.3650391685e-01,1.0198243832e+14,2.2117458008e+01,3.0708558402e+44,3.8759556291e+44,1.2621744005e+00
1,2.3650391685e-01,1.0198243832e+14,2.6032192606e+01,2.8284562981e+44,3.5687881686e+44,1.2617441433e+00
1,2.3650391685e-01,1.0198243832e+14,3.0639825409e+01,2.6121221603e+44,3.2878328765e+44,1.2586826629e+00
1,2.3650391685e-01,1.0198243832e+14,3.6062997662e+01,2.4177205910e+44,3.0470373468e+44,1.2602934178e+00
1,2.3650391685e-01,1.0198243832e+14,4.2446057804e+01,2.2419880927e+44,2.8308081894e+44,1.2626330169e+00
1,2.3650391685e-01,1.0198243832e+14,4.9958903582e+01,2.0823158150e+44,2.6246297137e+44,1.2604378715e+00
1,2.3650391685e-01,1.0198243832e+14,5.8801504221e+01,1.9365939188e+44,2.4341871772e+44,1.2569424873e+00
1,2.3650391685e-01,1.0198243832e+14,6.9209222995e+01,1.8030971974e+44,2.2674948695e+44,1.2575555399e+00
1,2.3650391685e-01,1.0198243832e+14,8.1459081891e+01,1.6803999802e+44,2.1174018295e+44,1.2600582328e+00
1,2.3650391685e-01,1.0198243832e+14,9.5877135089e+01,1.5673121205e+44,1.9713581878e+44,1.2577955354e+00
1,2.3650391685e-01,1.0198243832e+14,1.1284714754e+02,1.4628303611e+44,1.8318899799e+44,1.2522914677e+00
1,2.3650391685e-01,1.0198243832e+14,1.3282080964e+02,1.3661010492e+44,1.7120583866e+44,1.2532443245e+00
