frequency_hz,time_s,flux_1d_cgs,flux_2d_cgs,ratio_2d_over_1d
1.000000000000e+09,1.000000000000e+03,5.9479003647130332e-26,1.1426905399586613e-26,1.9211662433652626e-01
1.000000000000e+09,1.345960324155e+03,6.7596606375136416e-26,1.3163580440034885e-26,1.9473729741670512e-01
1.000000000000e+09,1.811609194200e+03,7.6869100507255446e-26,1.5172462621577993e-26,1.9738051468607870e-01
1.000000000000e+09,2.438354098269e+03,8.7610126984098988e-26,1.7497142461692811e-26,1.9971598106310812e-01
1.000000000000e+09,3.281927872511e+03,9.9940923301927594e-26,2.0188950567543940e-26,2.0200884583137074e-01
1.000000000000e+09,4.417344703140e+03,1.1423893280619570e-25,2.3307797639044668e-26,2.0402674523041919e-01
1.000000000000e+09,5.945570708544e+03,1.3074363991494063e-25,2.6923637239016955e-26,2.0592693653422048e-01
1.000000000000e+09,8.002502278161e+03,1.4991291546294205e-25,3.1117309514368123e-26,2.0756923723533488e-01
1.000000000000e+09,1.077105056037e+04,1.7210854324455837e-25,3.5978641562305547e-26,2.0904622678248774e-01
1.000000000000e+09,1.449740670373e+04,1.9788576829858344e-25,4.1579251571229739e-26,2.1011744264747806e-01
1.000000000000e+09,1.951293422636e+04,2.2738589841714807e-25,4.7850650961879758e-26,2.1043807595357528e-01
1.000000000000e+09,2.626363527653e+04,2.5977762387930158e-25,5.4303594207025951e-26,2.0903876706585245e-01
1.000000000000e+09,3.534981105030e+04,2.9123988332512369e-25,5.9895434980597820e-26,2.0565670572575376e-01
1.000000000000e+09,4.757944314009e+04,3.1575811716288483e-25,6.3602112791754225e-26,2.0142669130163604e-01
1.000000000000e+09,6.404004271197e+04,3.3004164435150418e-25,6.5189151073766616e-26,1.9751795626232618e-01
1.000000000000e+09,8.619535664753e+04,3.3435692143580521e-25,6.5105205691236942e-26,1.9471768495672312e-01
1.000000000000e+09,1.160155301740e+05,3.3224614079631880e-25,6.3977964623239821e-26,1.9256194961331716e-01
1.000000000000e+09,1.561523006000e+05,3.2591903953167009e-25,6.2305431520548299e-26,1.9116843130759772e-01
1.000000000000e+09,2.101748011332e+05,3.1776616219025579e-25,6.0436325653529262e-26,1.9019119353980896e-01
1.000000000000e+09,2.828869434626e+05,3.0913832707762585e-25,5.8594242659899933e-26,1.8954053097785797e-01
1.000000000000e+09,3.807546021222e+05,3.0044936130531717e-25,5.6916815259221087e-26,1.8943896239933131e-01
1.000000000000e+09,5.124805876961e+05,2.9345873794823894e-25,5.5474395888185360e-26,1.8903644265644626e-01
1.000000000000e+09,6.897785379388e+05,2.8773586772557901e-25,5.4305249029840140e-26,1.8873298438285918e-01
1.000000000000e+09,9.284145445195e+05,2.8258879805114831e-25,5.3376154747321275e-26,1.8888276929384951e-01
1.000000000000e+09,1.249609141292e+06,2.7927960298355981e-25,5.2613212371326895e-26,1.8838902594123225e-01
1.000000000000e+09,1.681924324881e+06,2.7755003194570453e-25,5.1794270220075664e-26,1.8661237347725426e-01
1.000000000000e+09,2.263803409521e+06,2.7563695281715814e-25,5.0568945897138492e-26,1.8346214243154491e-01
1.000000000000e+09,3.046989570904e+06,2.7225110575423302e-25,4.8400381979873116e-26,1.7777845877167966e-01
1.000000000000e+09,4.101127070551e+06,2.6476679198651828e-25,4.4631976231401022e-26,1.6857089930550523e-01
1.000000000000e+09,5.519954321282e+06,2.5026828396147728e-25,3.8920471180487502e-26,1.5551499600516044e-01
1.000000000000e+09,7.429639507595e+06,2.2576966067278962e-25,3.1875849990356597e-26,1.4118748238964937e-01
1.000000000000e+09,1.000000000000e+07,1.9071144904915589e-25,2.5372846107625516e-26,1.3304311950923126e-01
1.000000000000e+14,1.000000000000e+03,2.6775541512241973e-24,5.6036730869010682e-25,2.0928327758895290e-01
1.000000000000e+14,1.345960324155e+03,3.0110559275894832e-24,6.4037287219318220e-25,2.1267385515015527e-01
1.000000000000e+14,1.811609194200e+03,3.3761562751483141e-24,7.3021933661084191e-25,2.1628718492267171e-01
1.000000000000e+14,2.438354098269e+03,3.7751934935863400e-24,8.2981907326683183e-25,2.1980835543306798e-01
1.000000000000e+14,3.281927872511e+03,4.1965572955160619e-24,9.3815210953657220e-25,2.2355279422467772e-01
1.000000000000e+14,4.417344703140e+03,4.6263767187082411e-24,1.0526354524276717e-24,2.2752912623198238e-01
1.000000000000e+14,5.945570708544e+03,5.0411729161720063e-24,1.1683138452732455e-24,2.3175436841797520e-01
1.000000000000e+14,8.002502278161e+03,5.3966952602481780e-24,1.2769528607924395e-24,2.3661755930493586e-01
1.000000000000e+14,1.077105056037e+04,5.6438506816270559e-24,1.3662917055300699e-24,2.4208502006934457e-01
1.000000000000e+14,1.449740670373e+04,5.7270736627746318e-24,1.4194314721192387e-24,2.4784585561477793e-01
1.000000000000e+14,1.951293422636e+04,5.5625380885833266e-24,1.4127521422775474e-24,2.5397617414559559e-01
1.000000000000e+14,2.626363527653e+04,5.1050169667427353e-24,1.3124809357676663e-24,2.5709629259177508e-01
1.000000000000e+14,3.534981105030e+04,4.2488232414533846e-24,1.0900393875354618e-24,2.5655089082091226e-01
1.000000000000e+14,4.757944314009e+04,3.0700426644706131e-24,7.7705718534365128e-25,2.5310957216864743e-01
1.000000000000e+14,6.404004271197e+04,1.9204159585821091e-24,4.7812901223393942e-25,2.4897158873172143e-01
1.000000000000e+14,8.619535664753e+04,1.0967617827696990e-24,2.6984504728342185e-25,2.4603797426453969e-01
1.000000000000e+14,1.160155301740e+05,6.0790678035447024e-25,1.4829597581438996e-25,2.4394525708023626e-01
1.000000000000e+14,1.561523006000e+05,3.3545163556145186e-25,8.1544763410620363e-26,2.4308947927511912e-01
1.000000000000e+14,2.101748011332e+05,1.8598774451629337e-25,4.5199707128734664e-26,2.4302519096775738e-01
1.000000000000e+14,2.828869434626e+05,1.0390703947318447e-25,2.5280202285051778e-26,2.4329633885465382e-01
1.000000000000e+14,3.807546021222e+05,5.8482525613890286e-26,1.4262090044165932e-26,2.4386925657633565e-01
1.000000000000e+14,5.124805876961e+05,3.3169276092172282e-26,8.1135090471869244e-27,2.4460916857638795e-01
1.000000000000e+14,6.897785379388e+05,1.8949790199016167e-26,4.6537984344588582e-27,2.4558574979370873e-01
1.000000000000e+14,9.284145445195e+05,1.0900071561881779e-26,2.6914729212209933e-27,2.4692250009011316e-01
1.000000000000e+14,1.249609141292e+06,6.3200220909292820e-27,1.5694746601651034e-27,2.4833373010161922e-01
1.000000000000e+14,1.681924324881e+06,3.6900152120954935e-27,9.2279638584019209e-28,2.5007929040925353e-01
1.000000000000e+14,2.263803409521e+06,2.1722857692290991e-27,5.4682802360935304e-28,2.5172932187619651e-01
1.000000000000e+14,3.046989570904e+06,1.2886689466102223e-27,3.2641439255166916e-28,2.5329576956927963e-01
1.000000000000e+14,4.101127070551e+06,7.7055677993743197e-28,1.9601543367833489e-28,2.5438155731268891e-01
1.000000000000e+14,5.519954321282e+06,4.6518734258205199e-28,1.1827757196753086e-28,2.5425793253750983e-01
1.000000000000e+14,7.429639507595e+06,2.8358263458290276e-28,7.1625815280664850e-29,2.5257475792201833e-01
1.000000000000e+14,1.000000000000e+07,1.7427296754558082e-28,4.3509256221196366e-29,2.4966153290421586e-01
2.418000000000e+17,1.000000000000e+03,9.7148577084599632e-25,4.0323881536832801e-25,4.1507434022134637e-01
2.418000000000e+17,1.345960324155e+03,7.0564959058012683e-25,3.0028053015776780e-25,4.2553773737883405e-01
2.418000000000e+17,1.811609194200e+03,5.0939682031317550e-25,2.2119499286581665e-25,4.3422923749274034e-01
2.418000000000e+17,2.438354098269e+03,3.6615302851224724e-25,1.6172865914832406e-25,4.4169690417544777e-01
