kind,theta_v_rad,theta_v_over_theta_j,epsilon_B,epsilon_b_floor,magnetic_decay_alpha_t,magnetic_decay_t0_s,one_d_elapsed_s,two_d_solve_once_s,two_d_project_elapsed_s,label,num_points,ratio_min,ratio_median,ratio_max,log10_ratio_rms
lightcurve,0.2,2.0,0.001,1e-05,-0.4,1.0,0.41206500399994184,0.06657117400027346,0.8501473040000747,nu=1.000e+10 Hz,88,0.02279052856589316,0.3539973919415339,3.417028315154992,0.8183449305972705
lightcurve,0.2,2.0,0.001,1e-05,-0.4,1.0,0.41206500399994184,0.06657117400027346,0.8501473040000747,nu=1.000e+14 Hz,88,0.023468174511277293,0.21952100435345726,3.2143571228838583,1.0775241591604308
lightcurve,0.2,2.0,0.001,1e-05,-0.4,1.0,0.41206500399994184,0.06657117400027346,0.8501473040000747,nu=1.000e+18 Hz,88,0.1174822088032613,0.2734400433556633,2.8975432407720167,0.6346193469156104
spectrum,0.2,2.0,0.001,1e-05,-0.4,1.0,0.41206500399994184,0.06657117400027346,0.8501473040000747,t=1.000e+04 s,112,0.7089197663722268,0.7268271948189227,5.952976798934576,0.32041268405533124
lightcurve,0.30000000000000004,3.0,0.001,1e-05,-0.4,1.0,0.3082024770001226,0.06657117400027346,0.7928461579999748,nu=1.000e+10 Hz,88,0.022828884094472323,0.8453127217109315,3.431169004171609,0.7373430177837873
lightcurve,0.30000000000000004,3.0,0.001,1e-05,-0.4,1.0,0.3082024770001226,0.06657117400027346,0.7928461579999748,nu=1.000e+14 Hz,88,0.02339978779408971,0.7869715513694986,3.136598211869402,0.9543306548919775
lightcurve,0.30000000000000004,3.0,0.001,1e-05,-0.4,1.0,0.3082024770001226,0.06657117400027346,0.7928461579999748,nu=1.000e+18 Hz,88,0.12609338698064582,1.1079555027693502,2.941434734158864,0.5452330826264817
spectrum,0.30000000000000004,3.0,0.001,1e-05,-0.4,1.0,0.3082024770001226,0.06657117400027346,0.7928461579999748,t=1.000e+04 s,112,0.7478939311037334,0.8185117841569629,1.6833285209890934,0.11885149069918306
lightcurve,0.4,4.0,0.001,1e-05,-0.4,1.0,0.30764425300003495,0.06657117400027346,0.722580741999991,nu=1.000e+10 Hz,84,0.02334144773166026,1.3682409257823362,3.4304583082150635,0.6791964321233376
lightcurve,0.4,4.0,0.001,1e-05,-0.4,1.0,0.30764425300003495,0.06657117400027346,0.722580741999991,nu=1.000e+14 Hz,84,0.023543733362636907,1.2192570264330183,3.0752757960334907,0.8720512461810205
lightcurve,0.4,4.0,0.001,1e-05,-0.4,1.0,0.30764425300003495,0.06657117400027346,0.722580741999991,nu=1.000e+18 Hz,84,0.13609126351206988,1.3829824320544677,2.96055168185299,0.4915554581438529
spectrum,0.4,4.0,0.001,1e-05,-0.4,1.0,0.30764425300003495,0.06657117400027346,0.722580741999991,t=1.000e+04 s,112,0.755868210803346,0.8914937033718475,1.2506076867437217,0.0748726453697917
lightcurve,0.5,5.0,0.001,1e-05,-0.4,1.0,0.3416770109997742,0.06657117400027346,0.6855367190000834,nu=1.000e+10 Hz,79,0.024616122761213704,1.7043186656041132,3.4189658801629204,0.6287171408687875
lightcurve,0.5,5.0,0.001,1e-05,-0.4,1.0,0.3416770109997742,0.06657117400027346,0.6855367190000834,nu=1.000e+14 Hz,79,0.023565762107974616,1.4608930714190211,3.017851180442206,0.8068827297714954
lightcurve,0.5,5.0,0.001,1e-05,-0.4,1.0,0.3416770109997742,0.06657117400027346,0.6855367190000834,nu=1.000e+18 Hz,79,0.14647099237901748,1.5623373019050035,3.0103255066986856,0.45190043530893464
spectrum,0.5,5.0,0.001,1e-05,-0.4,1.0,0.3416770109997742,0.06657117400027346,0.6855367190000834,t=1.000e+04 s,112,0.7450343716396853,0.911365027882961,1.08402157849327,0.06831007049030592
