theta_v_rad,theta_v_over_theta_j,nu_hz,peak_time_1d_s,peak_time_2d_s,peak_flux_1d,peak_flux_2d,peak_flux_2d_over_1d,peak_time_2d_over_1d
0.2,2.0,10000000000.0,1203537.8976219026,621016.9418915616,2.1516321410449126e-25,2.2203602343676627e-26,0.10319423064991831,0.5159928433650846
0.2,2.0,100000000000000.0,111167.28815539279,74741.74246317534,1.2772855927186098e-25,7.049385224176515e-27,0.05519036043593359,0.6723357536499335
0.2,2.0,1e+18,65477.47961440269,50251.545748088225,9.759713023454658e-29,1.6970726664467869e-29,0.17388550896613064,0.7674630429274295
0.30000000000000004,3.0,10000000000.0,2332470.136161077,1373823.7958832637,1.5388220483292079e-25,1.323166939832395e-26,0.08598570193798805,0.5889995222594308
0.30000000000000004,3.0,100000000000000.0,417531.89365604,320440.2976245164,1.850672471747282e-26,8.910333110247353e-28,0.04814646160395312,0.7674630429274296
0.30000000000000004,3.0,1e+18,365778.6820891417,320440.2976245164,7.430390116573347e-30,1.4449388137206737e-30,0.1944633849705636,0.8760496806274344
0.4,4.0,10000000000.0,3960054.376977443,2043359.7178569396,1.0959301588448822e-25,7.989909015426313e-27,0.07290527549536306,0.5159928433650847
0.4,4.0,100000000000000.0,1054358.9908346816,708883.2467204189,4.451142937631579e-27,2.1059112980000905e-28,0.047311697860698915,0.6723357536499335
0.4,4.0,1e+18,1054358.9908346816,809181.5594438784,1.4648323799852725e-30,3.103582760131931e-31,0.21187289430092573,0.7674630429274294
0.5,5.0,10000000000.0,5889995.222594296,3469204.3722183625,7.804254063695396e-26,4.834666159119748e-27,0.061949112876913216,0.5889995222594295
0.5,5.0,100000000000000.0,2043359.7178569396,1373823.7958832637,1.49473219949714e-27,6.996968128102332e-29,0.0468108476585723,0.6723357536499348
0.5,5.0,1e+18,2043359.7178569396,1568203.066861824,4.367673885851062e-31,9.781070766220251e-32,0.22394233227681473,0.7674630429274311
