knot_index,source,source_cell_index,radius_cm,rho_g_cm3,proton_equivalent_n_cm3
0,analytic,,1.000000000000e+13,4.739280527625e-14,2.833443984263e+10
1,analytic,,1.320000000000e+16,2.719972754606e-20,1.626173085550e+04
2,pion_raw,40,1.340771484375e+16,2.635954549983e-20,1.575941647451e+04
3,pion_raw,78,2.598779296875e+16,7.022385996200e-21,4.198429960016e+03
4,pion_raw,79,2.631884765625e+16,6.749009377660e-21,4.034987992248e+03
5,pion_raw,80,2.664990234375e+16,6.750563395584e-21,4.035917083217e+03
6,pion_raw,81,2.698095703125e+16,9.323788811548e-20,5.574355255956e+04
7,pion_raw,82,2.731201171875e+16,1.270991586194e-18,7.598797840637e+05
8,pion_raw,83,2.764306640625e+16,5.108915315661e-18,3.054435221314e+06
9,pion_raw,84,2.797412109375e+16,7.354032685861e-18,4.396709490473e+06
10,pion_raw,85,2.830517578125e+16,6.877974578068e-18,4.112091609378e+06
11,pion_raw,86,2.863623046875e+16,4.894592661781e-18,2.926299477758e+06
12,pion_raw,87,2.896728515625e+16,2.744283553478e-18,1.640707630702e+06
13,pion_raw,88,2.929833984375e+16,1.906326343081e-18,1.139723398385e+06
14,pion_raw,89,2.962939453125e+16,1.606936399404e-18,9.607290067437e+05
15,pion_raw,90,2.996044921875e+16,1.491262566286e-18,8.915718161798e+05
16,pion_raw,91,3.029150390625e+16,1.433832719127e-18,8.572365929321e+05
17,pion_raw,92,3.062255859375e+16,1.394875399808e-18,8.339454242778e+05
18,pion_raw,107,3.558837890625e+16,1.030560852432e-18,6.161349662083e+05
19,pion_raw,109,3.625048828125e+16,9.871913745424e-19,5.902059279269e+05
20,pion_raw,111,3.691259765625e+16,9.371571382788e-19,5.602922722735e+05
21,pion_raw,112,3.724365234375e+16,9.076578864020e-19,5.426557391999e+05
22,pion_raw,113,3.757470703125e+16,8.739066536905e-19,5.224771009593e+05
23,pion_raw,114,3.790576171875e+16,8.349407043958e-19,4.991807727557e+05
24,pion_raw,115,3.823681640625e+16,7.899034893620e-19,4.722546549069e+05
25,pion_raw,116,3.856787109375e+16,7.381501911225e-19,4.413132344302e+05
26,pion_raw,117,3.889892578125e+16,6.793269877229e-19,4.061449740084e+05
27,pion_raw,118,3.922998046875e+16,6.133870167945e-19,3.667218563304e+05
28,pion_raw,119,3.956103515625e+16,5.405049179852e-19,3.231482921094e+05
29,pion_raw,120,3.989208984375e+16,4.608552241311e-19,2.755286281997e+05
30,pion_raw,121,4.022314453125e+16,3.790466427817e-19,2.266182437365e+05
31,pion_raw,122,4.055419921875e+16,3.087128622238e-19,1.845682265976e+05
32,pion_raw,123,4.088525390625e+16,2.502568389347e-19,1.496194898502e+05
33,pion_raw,126,4.187841796875e+16,1.329199139088e-19,7.946799693716e+04
34,pion_raw,127,4.220947265625e+16,1.083506500280e-19,6.477892492822e+04
