cell_index,radius_cm,rho_g_cm3,proton_equivalent_n_cm3,velocity_cm_s,temperature_k,wind1_tracer
40,1.340771484375e+16,2.635954549983e-20,1.575941647451e+04,1.799999459247e+08,4.449766225624e+02,1.000000000000e+00
41,1.373876953125e+16,2.510298260105e-20,1.500816307948e+04,1.799998887908e+08,6.292035316601e+02,1.000000000000e+00
42,1.406982421875e+16,2.393604813951e-20,1.431049527720e+04,1.799998461220e+08,7.682547851814e+02,1.000000000000e+00
43,1.440087890625e+16,2.284988689354e-20,1.366111885173e+04,1.799998165038e+08,8.815875251464e+02,1.000000000000e+00
44,1.473193359375e+16,2.183170807196e-20,1.305238665281e+04,1.799997960689e+08,9.747268705811e+02,1.000000000000e+00
45,1.506298828125e+16,2.088629806618e-20,1.248716029030e+04,1.799997821180e+08,1.055558871852e+03,1.000000000000e+00
46,1.539404296875e+16,1.999606922638e-20,1.195492474610e+04,1.799997741303e+08,1.122704203579e+03,1.000000000000e+00
47,1.572509765625e+16,1.916405056196e-20,1.145749095509e+04,1.799997694863e+08,1.183495216462e+03,1.000000000000e+00
48,1.605615234375e+16,1.838474420419e-20,1.099157194091e+04,1.799997699778e+08,1.231778841095e+03,1.000000000000e+00
49,1.638720703125e+16,1.764684749306e-20,1.055041025298e+04,1.799997724572e+08,1.277183710993e+03,1.000000000000e+00
50,1.671826171875e+16,1.695903828972e-20,1.013919406982e+04,1.799997770955e+08,1.317199288861e+03,1.000000000000e+00
51,1.704931640625e+16,1.630497981108e-20,9.748156221166e+03,1.799997837477e+08,1.353075762080e+03,1.000000000000e+00
52,1.738037109375e+16,1.568994399086e-20,9.380448605057e+03,1.799997921627e+08,1.384663549671e+03,1.000000000000e+00
53,1.771142578125e+16,1.511101740233e-20,9.034329389271e+03,1.799998020572e+08,1.412441588467e+03,1.000000000000e+00
54,1.804248046875e+16,1.455772329288e-20,8.703534903309e+03,1.799998131997e+08,1.437561764445e+03,1.000000000000e+00
55,1.837353515625e+16,1.404135966076e-20,8.394819810676e+03,1.799998253324e+08,1.459179236944e+03,1.000000000000e+00
56,1.870458984375e+16,1.354627679347e-20,8.098827715699e+03,1.799998383307e+08,1.478892094342e+03,1.000000000000e+00
57,1.903564453125e+16,1.307923247335e-20,7.819598851422e+03,1.799998520382e+08,1.496127137048e+03,1.000000000000e+00
58,1.936669921875e+16,1.263862973355e-20,7.556178449265e+03,1.799998663516e+08,1.511100115726e+03,1.000000000000e+00
59,1.969775390625e+16,1.221378066971e-20,7.302176598739e+03,1.799998812043e+08,1.524951661607e+03,1.000000000000e+00
60,2.002880859375e+16,1.181780752193e-20,7.065438611411e+03,1.799998965565e+08,1.536477303900e+03,1.000000000000e+00
61,2.035986328125e+16,1.143477514420e-20,6.836437441271e+03,1.799999123564e+08,1.546963904976e+03,1.000000000000e+00
62,2.069091796875e+16,1.107182844366e-20,6.619444769223e+03,1.799999285632e+08,1.556256985425e+03,1.000000000000e+00
63,2.102197265625e+16,1.072891701674e-20,6.414430460813e+03,1.799999451458e+08,1.563930296103e+03,1.000000000000e+00
64,2.135302734375e+16,1.039449377870e-20,6.214490932754e+03,1.799999618894e+08,1.570999528351e+03,1.000000000000e+00
65,2.168408203125e+16,1.008350255318e-20,6.028560555353e+03,1.799999788502e+08,1.577010097250e+03,1.000000000000e+00
66,2.201513671875e+16,9.779991060659e-21,5.847102039105e+03,1.799999959078e+08,1.581970274448e+03,1.000000000000e+00
67,2.234619140625e+16,9.491663755938e-21,5.674721598171e+03,1.800000130252e+08,1.586586223958e+03,1.000000000000e+00
68,2.267724609375e+16,9.219492674049e-21,5.512000377054e+03,1.800000301498e+08,1.589478145369e+03,1.000000000000e+00
69,2.300830078125e+16,8.951443254255e-21,5.351743348256e+03,1.800000469856e+08,1.592958424140e+03,1.000000000000e+00
