raw_index,r_cm,rho_g_cm3,proton_equivalent_n_cm3,nH_X033_cm3,nH_ambientnorm_cm3,velocity_cm_s,temperature_K,wind1,shell_mass_g
80,1.332495117188e+16,2.669030353652e-20,1.595716471158e+04,5.265864354821e+03,1.141586977610e+04,1.799999681093e+08,3.840832554228e+02,1.000000000000e+00,9.857445288561e+27
1370,2.268552246094e+17,9.214952603823e-23,5.509286033686e+01,1.818064391116e+01,3.941382636366e+01,1.799791710458e+08,5.930289343562e+03,1.000000000000e+00,9.864391204350e+27
1371,2.270207519531e+17,1.019371420042e-22,6.094452103038e+01,2.011169194003e+01,4.360014628067e+01,1.752288174400e+08,2.370105087155e+06,1.000000000000e+00,1.092806271658e+28
1372,2.271862792969e+17,2.590484038624e-22,1.548756477441e+02,5.110896375555e+01,1.107991462200e+02,1.047841088193e+08,3.773302447168e+07,1.000000000000e+00,2.781152021757e+28
1373,2.273518066406e+17,3.659948486022e-22,2.188150492460e+02,7.220896625119e+01,1.565418514124e+02,7.951723730587e+07,4.808442467990e+07,1.000000000000e+00,3.935060392169e+28
1374,2.275173339844e+17,3.679705309808e-22,2.199962381032e+02,7.259875857406e+01,1.573868823699e+02,7.838961304282e+07,4.805500717219e+07,1.000000000000e+00,3.962065305052e+28
1377,2.280139160156e+17,3.693053752293e-22,2.207942930788e+02,7.286211671602e+01,1.579578166079e+02,7.820120549054e+07,4.805121840299e+07,1.000000000000e+00,3.993815016866e+28
1489,2.465529785156e+17,4.124215599088e-22,2.465718965341e+02,8.136872585627e+01,1.763992985068e+02,7.077955539509e+07,4.505375297897e+07,1.000000000000e+00,5.214845875162e+28
1563,2.588020019531e+17,4.457871979409e-22,2.665200016974e+02,8.795160056013e+01,1.906703156291e+02,6.727636008040e+07,4.212004107539e+07,1.000000000000e+00,6.210727364116e+28
1595,2.640988769531e+17,4.626701954256e-22,2.766137337270e+02,9.128253212992e+01,1.978914437235e+02,6.600135294301e+07,4.064065307973e+07,1.000000000000e+00,6.712499131710e+28
1597,2.644299316406e+17,4.651015206479e-22,2.780673349192e+02,9.176222052334e+01,1.989313604140e+02,6.592569608078e+07,4.042955620954e+07,1.000000000000e+00,6.764700833196e+28
1598,2.645954589844e+17,4.685177804048e-22,2.801097927565e+02,9.243623160965e+01,2.003925493605e+02,6.588791190204e+07,4.013519579027e+07,1.000000000000e+00,6.822922843019e+28
1599,2.647609863281e+17,4.773790867335e-22,2.854076465053e+02,9.418452334674e+01,2.041826718278e+02,6.585040536675e+07,3.939067707692e+07,1.000000000000e+00,6.960668960956e+28
1600,2.649265136719e+17,5.023652286080e-22,3.003459547509e+02,9.911416506780e+01,2.148696444003e+02,6.581305790605e+07,3.743183390722e+07,1.000000000000e+00,7.334154096516e+28
1601,2.650920410156e+17,5.759123141588e-22,3.443170904326e+02,1.136246398428e+02,2.463269093921e+02,6.577577745188e+07,3.265146615516e+07,1.000000000000e+00,8.418396027124e+28
1602,2.652575683594e+17,7.935709188693e-22,4.744472780308e+02,1.565676017502e+02,3.394229764197e+02,6.573829424357e+07,2.369493532613e+07,1.000000000000e+00,1.161451080707e+29
1603,2.654230957031e+17,1.437097590529e-21,8.591885411609e+02,2.835322185830e+02,6.146696281131e+02,6.569442549438e+07,1.307939410028e+07,1.000000000000e+00,2.105926897150e+29
1604,2.655886230469e+17,3.330735164800e-21,1.991325784761e+03,6.571375089711e+02,1.424608710351e+03,6.559843317536e+07,5.620717065595e+06,1.000000000000e+00,4.886958452420e+29
1605,2.657541503906e+17,8.817476282996e-21,5.271649353695e+03,1.739644286719e+03,3.771375655687e+03,6.526976265081e+07,2.058213789661e+06,1.000000000000e+00,1.295340730743e+30
