raw_index,r_cm,rho_g_cm3,proton_equivalent_n_cm3,nH_X033_cm3,nH_ambientnorm_cm3,velocity_cm_s,temperature_K,wind1,shell_mass_g
80,1.332495117188e+16,2.669030353652e-20,1.595716471158e+04,5.265864354821e+03,1.141586977610e+04,1.799999681093e+08,3.840832554228e+02,1.000000000000e+00,9.857445288561e+27
81,1.349047851562e+16,2.603950069408e-20,1.556807328977e+04,5.137464185624e+03,1.113751098977e+04,1.799999320309e+08,4.919994404213e+02,1.000000000000e+00,9.857504218582e+27
82,1.365600585938e+16,2.541217475012e-20,1.519301785430e+04,5.013695891921e+03,1.086919364847e+04,1.799998996396e+08,5.867989885954e+02,1.000000000000e+00,9.857546444902e+27
83,1.382153320312e+16,2.480725082785e-20,1.483135577532e+04,4.894347405855e+03,1.061045801020e+04,1.799998734174e+08,6.680972814737e+02,1.000000000000e+00,9.857588630397e+27
84,1.398706054688e+16,2.422367013551e-20,1.448245403963e+04,4.779209833076e+03,1.036085121279e+04,1.799998519336e+08,7.391731929589e+02,1.000000000000e+00,9.857628872966e+27
85,1.415258789062e+16,2.366044105625e-20,1.414571979545e+04,4.668087532499e+03,1.011994912585e+04,1.799998340485e+08,8.025790319442e+02,1.000000000000e+00,9.857667545144e+27
86,1.431811523438e+16,2.311662850847e-20,1.382059399142e+04,4.560796017169e+03,9.887351800029e+03,1.799998191710e+08,8.594040482875e+02,1.000000000000e+00,9.857704842640e+27
87,1.448364257812e+16,2.259134989187e-20,1.350654895281e+04,4.457161154428e+03,9.662681733048e+03,1.799998065810e+08,9.114044563795e+02,1.000000000000e+00,9.857740688309e+27
88,1.464916992188e+16,2.208377259967e-20,1.320308689423e+04,4.357018675095e+03,9.445582805675e+03,1.799997963723e+08,9.584056259169e+02,1.000000000000e+00,9.857775187926e+27
89,1.481469726562e+16,2.159311039290e-20,1.290973775189e+04,4.260213458125e+03,9.235718730926e+03,1.799997878262e+08,1.002207671930e+03,1.000000000000e+00,9.857808504766e+27
90,1.498022460938e+16,2.111862005724e-20,1.262605718491e+04,4.166598871019e+03,9.032771624139e+03,1.799997810842e+08,1.041838448209e+03,1.000000000000e+00,9.857840728374e+27
91,1.514575195312e+16,2.065959840930e-20,1.235162478543e+04,4.076036179191e+03,8.836440722541e+03,1.799997755121e+08,1.079274953128e+03,1.000000000000e+00,9.857871781320e+27
92,1.531127929688e+16,2.021538031884e-20,1.208604289620e+04,3.988394155745e+03,8.646441539280e+03,1.799997714328e+08,1.113117014836e+03,1.000000000000e+00,9.857901706513e+27
93,1.547680664062e+16,1.978533610833e-20,1.182893505586e+04,3.903548568433e+03,8.462504751212e+03,1.799997682998e+08,1.145397987651e+03,1.000000000000e+00,9.857930586986e+27
94,1.564233398438e+16,1.936886942967e-20,1.157994472949e+04,3.821381760733e+03,8.284375290706e+03,1.799997666084e+08,1.174505945062e+03,1.000000000000e+00,9.857958606369e+27
95,1.580786132812e+16,1.896541457999e-20,1.133873370388e+04,3.741782122280e+03,8.111811197600e+03,1.799997654333e+08,1.202628925186e+03,1.000000000000e+00,9.857985740520e+27
96,1.597338867188e+16,1.857443503773e-20,1.110498121222e+04,3.664643800034e+03,7.944582993041e+03,1.799997655497e+08,1.227488247941e+03,1.000000000000e+00,9.858011977498e+27
97,1.613891601562e+16,1.819542165818e-20,1.087838285537e+04,3.589866342271e+03,7.782472907690e+03,1.799997661922e+08,1.251479007168e+03,1.000000000000e+00,9.858037308350e+27
98,1.630444335938e+16,1.782789121274e-20,1.065864972845e+04,3.517354410389e+03,7.625274256946e+03,1.799997674343e+08,1.274070575319e+03,1.000000000000e+00,9.858061836903e+27
99,1.646997070312e+16,1.747138452672e-20,1.044550730758e+04,3.447017411501e+03,7.472790644447e+03,1.799997692943e+08,1.295287512027e+03,1.000000000000e+00,9.858085610935e+27
100,1.663549804688e+16,1.712546512549e-20,1.023869464039e+04,3.378769231330e+03,7.324835383015e+03,1.799997717337e+08,1.315185887408e+03,1.000000000000e+00,9.858108662941e+27
101,1.680102539062e+16,1.678971783918e-20,1.003796351189e+04,3.312527958922e+03,7.181230897853e+03,1.799997747086e+08,1.333862202605e+03,1.000000000000e+00,9.858130974150e+27
102,1.696655273438e+16,1.646374775575e-20,9.843077818464e+03,3.248215680092e+03,7.041808278762e+03,1.799997781698e+08,1.351447659608e+03,1.000000000000e+00,9.858152588631e+27
103,1.713208007812e+16,1.614717895174e-20,9.653812809124e+03,3.185758227010e+03,6.906406737270e+03,1.799997821091e+08,1.367944691104e+03,1.000000000000e+00,9.858173554355e+27
104,1.729760742188e+16,1.583965342183e-20,9.469954445465e+03,3.125084967004e+03,6.774873148773e+03,1.799997864621e+08,1.383455816980e+03,1.000000000000e+00,9.858193932317e+27
105,1.746313476562e+16,1.554082994830e-20,9.291298725784e+03,3.066128579509e+03,6.647061568992e+03,1.799997911750e+08,1.398065066503e+03,1.000000000000e+00,9.858213723159e+27
106,1.762866210938e+16,1.525038326225e-20,9.117651183602e+03,3.008824890588e+03,6.522832875213e+03,1.799997962195e+08,1.411815990890e+03,1.000000000000e+00,9.858232931070e+27
107,1.779418945312e+16,1.496800313459e-20,8.948826344192e+03,2.953112693583e+03,6.402054377497e+03,1.799998015819e+08,1.424758783906e+03,1.000000000000e+00,9.858251548746e+27
108,1.795971679688e+16,1.469339363933e-20,8.784647284136e+03,2.898933603764e+03,6.284599503561e+03,1.799998072438e+08,1.436931112004e+03,1.000000000000e+00,9.858269618075e+27
