kind,radius_cm,Gamma,B_comoving_G,tobs_axis_s,dtobs_dR_on_axis_s_per_cm,dtobs_dR_edge_s_per_cm,node,label
contract_node,,,,,,,public inputs,public inputs
contract_node,,,,,,,runtime,runtime configuration
contract_node,,,,,,,dynamics,dynamics
contract_node,,,,,,,electron_photon,electron and photon state
contract_node,,,,,,,optional_branches,optional branches
contract_node,,,,,,,observer,observer projection
asgard_state,1.00053962e+14,2.99999000e+02,3.69368094e+00,1.85416166e-02,1.85316166e-16,1.66828425e-13,,
asgard_state,1.00138365e+14,2.99999000e+02,3.69368094e+00,1.85572579e-02,1.85316166e-16,1.66828425e-13,,
asgard_state,1.00354786e+14,2.99999000e+02,3.69368094e+00,1.85973643e-02,1.85316166e-16,1.66828425e-13,,
asgard_state,1.00909718e+14,2.99998999e+02,3.69368093e+00,1.87002022e-02,1.85316167e-16,1.66828425e-13,,
asgard_state,1.02332637e+14,2.99998998e+02,3.69368092e+00,1.89638921e-02,1.85316168e-16,1.66828425e-13,,
asgard_state,1.05981185e+14,2.99998996e+02,3.69368089e+00,1.96400273e-02,1.85316171e-16,1.66828425e-13,,
asgard_state,1.15336537e+14,2.99998989e+02,3.69368080e+00,2.13737264e-02,1.85316180e-16,1.66828425e-13,,
asgard_state,1.39324877e+14,2.99998966e+02,3.69368052e+00,2.58191577e-02,1.85316208e-16,1.66828425e-13,,
asgard_state,2.00834081e+14,2.99998871e+02,3.69367934e+00,3.72178339e-02,1.85316326e-16,1.66828425e-13,,
asgard_state,3.58551360e+14,2.99998217e+02,3.69367128e+00,6.64457103e-02,1.85317134e-16,1.66828426e-13,,
asgard_state,7.62950892e+14,2.99991380e+02,3.69358697e+00,1.41394317e-01,1.85325580e-16,1.66828434e-13,,
asgard_state,1.79961629e+15,2.99898563e+02,3.69244226e+00,3.33721408e-01,1.85440314e-16,1.66828549e-13,,
asgard_state,4.44752427e+15,2.98486048e+02,3.67502186e+00,8.32574704e-01,1.87199587e-16,1.66830308e-13,,
asgard_state,1.08728415e+16,2.79961695e+02,3.44656284e+00,2.31365865e+00,2.12792457e-16,1.66855901e-13,,
asgard_state,2.20563480e+16,2.02325469e+02,2.48908224e+00,8.98648286e+00,4.07432947e-16,1.67050542e-13,,
asgard_state,3.45436938e+16,1.28801238e+02,1.58231212e+00,3.47294286e+01,1.00537681e-15,1.67648486e-13,,
asgard_state,4.79208870e+16,8.48788230e+01,1.04061587e+00,1.10948304e+02,2.31523894e-15,1.68958348e-13,,
asgard_state,6.33269533e+16,5.76468245e+01,7.04758116e-01,3.17896061e+02,5.01991718e-15,1.71663026e-13,,
asgard_state,8.18770468e+16,3.97748592e+01,4.84332985e-01,8.63575108e+02,1.05472186e-14,1.77190327e-13,,
asgard_state,1.04721761e+17,2.76654435e+01,3.34971479e-01,2.28421400e+03,2.18122191e-14,1.88455328e-13,,
asgard_state,1.33180149e+17,1.93276808e+01,2.32117688e-01,5.95802499e+03,4.47365844e-14,2.11379693e-13,,
asgard_state,1.68853573e+17,1.35422206e+01,1.60729934e-01,1.54191466e+04,9.13166734e-14,2.57959782e-13,,
asgard_state,2.13746926e+17,9.51471838e+00,1.11006324e-01,3.97075950e+04,1.85769198e-13,3.52412307e-13,,
asgard_state,2.70425207e+17,6.71021725e+00,7.63412406e-02,1.01866621e+05,3.76690554e-13,5.43333663e-13,,
