medium,kind,radius_index,radius_cm,density_cm3,observer_time_s,gamma_bulk,bfield_g,frequency_hz,flux_cgs
ism,state,0,1.3324957167159392e+16,1.0,1.099999999999998e-05,99.99899735229367,0.12270939866662195,,
ism,state,1,1.3324958557593772e+16,1.0,1.3551136829758644e-05,99.99899673823343,0.12270939790929909,,
ism,state,2,1.3324960270499798e+16,1.0,1.669393721625826e-05,99.99899598175934,0.12270939697633668,,
ism,state,3,1.3324962380665574e+16,1.0,2.0565620676810526e-05,99.99899504984252,0.12270939582700008,,
ism,state,4,1.3324964980224174e+16,1.0,2.5335230889124775e-05,99.99899390179398,0.12270939441110738,,
ism,state,5,1.3324968182676296e+16,1.0,3.121101639927797e-05,99.99899248748805,0.12270939266683842,,
ism,state,6,1.3324972127845888e+16,1.0,3.8449523074768724e-05,99.99899074517381,0.12270939051803555,,
ism,state,7,1.3324976987985062e+16,1.0,4.736679529319576e-05,99.99898859877891,0.12270938787087843,,
ism,state,8,1.3324982975294862e+16,1.0,5.8352174927751124e-05,99.99898595458802,0.1227093846097876,,
ism,state,9,1.3324990351190278e+16,1.0,7.188530061454248e-05,99.99898269715125,0.12270938059237825,,
ism,state,10,1.3324999437713988e+16,1.0,8.855704951599968e-05,99.99897868424303,0.12270937564324305,,
ism,state,11,1.3325010631597176e+16,1.0,0.00010909533593009304,99.99897374065239,0.12270936954629363,,
ism,state,12,1.3325024421581354e+16,1.0,0.0001343968931524705,99.99896765053266,0.12270936203532548,,
ism,state,13,1.332504140975745e+16,1.0,0.00016556642623668914,99.99896014797703,0.12270935278239466,,
ism,state,14,1.3325062337853836e+16,1.0,0.0002039648451225011,99.99895090540807,0.12270934138349868,,
ism,state,15,1.332508811962103e+16,1.0,0.0002512686840650493,99.9989395192745,0.1227093273409362,,
ism,state,16,1.3325119880727048e+16,1.0,0.000309543301708989,99.99892549243035,0.12270931004157518,,
ism,state,17,1.332515900790512e+16,1.0,0.0003813330578357972,99.99890821242704,0.12270928873008041,,
ism,state,18,1.3325207209499598e+16,1.0,0.0004697724040402864,99.99888692477037,0.12270926247593128,,
ism,state,19,1.33252665900534e+16,1.0,0.0005787227387267799,99.99886069997413,0.12270923013278887,,
ism,state,20,1.332533974219327e+16,1.0,0.000712941001725387,99.99882839297116,0.12270919028843741,,
ism,state,21,1.3325429859824352e+16,1.0,0.0008782873696296276,99.99878859310881,0.12270914120311355,,
ism,state,22,1.3325540877575688e+16,1.0,0.0010819811201545346,99.9987395625437,0.12270908073352838,,
ism,state,23,1.3325677642584092e+16,1.0,0.001332915836948147,99.99867916034353,0.12270900623926177,,
ism,state,24,1.3325846126115336e+16,1.0,0.0016420477171851444,99.99860474897856,0.12270891446743816,,
ism,state,25,1.3326053684260172e+16,1.0,0.0020228739360517,99.99851307911393,0.12270880141064032,,
ism,state,26,1.3326309379084318e+16,1.0,0.002492021954253548,99.99840014766457,0.12270866213184792,,
ism,state,27,1.3326624374249246e+16,1.0,0.003069975498622942,99.99826102290137,0.12270849054874047,,
ism,state,28,1.3327012422369688e+16,1.0,0.003781968913258725,99.99808962895321,0.12270827916792268,,
ism,state,29,1.3327490465375036e+16,1.0,0.00465908892995114,99.99787848026462,0.12270801875743002,,
ism,state,30,1.3328079374069932e+16,1.0,0.00573963196288924,99.99761835437005,0.12270769794316021,,
ism,state,31,1.3328804859157834e+16,1.0,0.0070707761892334735,99.99729788862625,0.12270730271152139,,
ism,state,32,1.3329698593464012e+16,1.0,0.008710641421172928,99.99690308319009,0.12270681579645298,,
ism,state,33,1.3330799594294794e+16,1.0,0.010730826706661596,99.9964166883781,0.12270621592385378,,
ism,state,34,1.3332155926196274e+16,1.0,0.013219536454399954,99.99581744941335,0.12270547688012523,,
ism,state,35,1.333382679831667e+16,1.0,0.016285431574505113,99.99507917520889,0.12270456636369868,,
ism,state,36,1.3335885147732534e+16,1.0,0.020062373781617304,99.99416958995965,0.122703444568699,,
ism,state,37,1.3338420821206234e+16,1.0,0.024715270204041656,99.9930489165337,0.12270206243783564,,
ism,state,38,1.3341544493802116e+16,1.0,0.030447273483584097,99.99166812848975,0.12270035950660903,,
ism,state,39,1.3345392494705506e+16,1.0,0.03750865173355728,99.98996679238748,0.12269826124222341,,
ism,state,40,1.3350132749810216e+16,1.0,0.046207715631018026,99.98787040311136,0.12269567575723153,,
ism,state,41,1.3355972098809612e+16,1.0,0.056924279736954735,99.985287091177,0.12269248974864257,,
ism,state,42,1.3363165303642006e+16,1.0,0.07012624578644824,99.98210355109521,0.12268856347635754,,
ism,state,43,1.3372026137623452e+16,1.0,0.08639003200085864,99.97818000206762,0.12268372454817571,,
ism,state,44,1.3382941033370658e+16,1.0,0.10642574039735112,99.9733439442148,0.12267776021932586,,
ism,state,45,1.339638587617602e+16,1.0,0.13110816093935243,99.96738241198881,0.12267040783856954,,
ism,state,46,1.3412946662015532e+16,1.0,0.16151496621701647,99.96003234698337,0.1226613429749495,,
ism,state,47,1.343334490076029e+16,1.0,0.1989737642964213,99.9509686088641,0.12265016463162201,,
ism,state,48,1.345846884112936e+16,1.0,0.2451200641375408,99.93978900684033,0.12263637678511057,,
ism,state,49,1.3489411830957892e+16,1.0,0.3019686844406389,99.92599555235745,0.12261936526417526,,
ism,state,50,1.3527519411620494e+16,1.0,0.37200172374157325,99.90897088798346,0.12259836867946117,,
ism,state,51,1.357444708645802e+16,1.0,0.45827693266619374,99.88794851023616,0.12257244169918692,,
ism,state,52,1.3632231106986788e+16,1.0,0.5645612200437887,99.86197493379046,0.12254040838610102,,
ism,state,53,1.3703375093068548e+16,1.0,0.6954951219626233,99.82986127774632,0.12250080248861667,,
ism,state,54,1.3790955845598208e+16,1.0,0.8567954147404708,99.79012079399773,0.12245179039427317,,
ism,state,55,1.3898752315822502e+16,1.0,1.0555047182052653,99.7408874528243,0.12239107072097669,,
ism,state,56,1.4031402341431418e+16,1.0,1.3002989873504893,99.67980861972146,0.12231574195483425,,
ism,state,57,1.4194592394156856e+16,1.0,1.6018663179257342,99.60390174559416,0.12222212570547848,,
ism,state,58,1.4395286102189492e+16,1.0,1.9733736051993886,99.50936031750692,0.12210552738415649,,
ism,state,59,1.4641997514885576e+16,1.0,2.431041430935547,99.39128730740272,0.12195990746464401,,
ism,state,60,1.49451146025286e+16,1.0,2.9948522790381658,99.24332396068128,0.12177742366616634,,
ism,state,61,1.5317276674562354e+16,1.0,3.6894230016509706,99.05712672375914,0.12154778584513,,
ism,state,62,1.577380509586083e+16,1.0,4.545079628930103,98.82162433922223,0.12125733976597652,,
ism,state,63,1.63331778730417e+16,1.0,5.599181450343675,98.5219609465873,0.12088776362025036,,
ism,state,64,1.7017522001391624e+16,1.0,6.897752178932142,98.13800417234984,0.12041422804292548,,
ism,state,65,1.7853067564525932e+16,1.0,8.497489417679565,97.64228575142491,0.11980285626318965,,
ism,state,66,1.8870456864788308e+16,1.0,10.468240164400168,96.99728724454097,0.11900737655158121,,
ism,state,67,2.0104721966150504e+16,1.0,12.896050439505615,96.15217335523704,0.1179650933750729,,
ism,state,68,2.159463273796998e+16,1.0,15.886922188109958,95.03956846718596,0.11659291183029871,,
