kind,radius_cm,Gamma,B_comoving_G,time_s,frequency_hz,total_fnu_cgs,fs_synch_fnu_cgs,fs_ssc_fnu_cgs
dynamics_state,1.00053962e+14,2.99999000e+02,3.69368094e+00,,,,,
dynamics_state,1.00138365e+14,2.99999000e+02,3.69368094e+00,,,,,
dynamics_state,1.00354786e+14,2.99999000e+02,3.69368094e+00,,,,,
dynamics_state,1.00909718e+14,2.99998999e+02,3.69368093e+00,,,,,
dynamics_state,1.02332637e+14,2.99998998e+02,3.69368092e+00,,,,,
dynamics_state,1.05981185e+14,2.99998996e+02,3.69368089e+00,,,,,
dynamics_state,1.15336537e+14,2.99998989e+02,3.69368080e+00,,,,,
dynamics_state,1.39324877e+14,2.99998966e+02,3.69368052e+00,,,,,
dynamics_state,2.00834081e+14,2.99998871e+02,3.69367934e+00,,,,,
dynamics_state,3.58551360e+14,2.99998217e+02,3.69367128e+00,,,,,
dynamics_state,7.62950892e+14,2.99991380e+02,3.69358697e+00,,,,,
dynamics_state,1.79961629e+15,2.99898563e+02,3.69244226e+00,,,,,
dynamics_state,4.44752427e+15,2.98486048e+02,3.67502186e+00,,,,,
dynamics_state,1.08728415e+16,2.79961695e+02,3.44656284e+00,,,,,
dynamics_state,2.20563480e+16,2.02325469e+02,2.48908224e+00,,,,,
dynamics_state,3.45436938e+16,1.28801238e+02,1.58231212e+00,,,,,
dynamics_state,4.79208870e+16,8.48788230e+01,1.04061587e+00,,,,,
dynamics_state,6.33269533e+16,5.76468245e+01,7.04758116e-01,,,,,
dynamics_state,8.18770468e+16,3.97748592e+01,4.84332985e-01,,,,,
dynamics_state,1.04721761e+17,2.76654435e+01,3.34971479e-01,,,,,
dynamics_state,1.33180149e+17,1.93276808e+01,2.32117688e-01,,,,,
dynamics_state,1.68853573e+17,1.35422206e+01,1.60729934e-01,,,,,
dynamics_state,2.13746926e+17,9.51471838e+00,1.11006324e-01,,,,,
dynamics_state,2.70425207e+17,6.71021725e+00,7.63412406e-02,,,,,
lightcurve,,,,1.00000000e+02,1.00000000e+09,1.38970679e-27,1.38970679e-27,1.40147787e-41
lightcurve,,,,1.32419279e+02,1.00000000e+09,1.89028189e-27,1.89028189e-27,1.81162671e-41
lightcurve,,,,1.75348655e+02,1.00000000e+09,2.58908550e-27,2.58908550e-27,2.36146792e-41
lightcurve,,,,2.32195425e+02,1.00000000e+09,3.57022460e-27,3.57022460e-27,3.11582444e-41
lightcurve,,,,3.07471508e+02,1.00000000e+09,4.77083680e-27,4.77083680e-27,3.97219220e-41
lightcurve,,,,4.07151555e+02,1.00000000e+09,6.24351609e-27,6.24351609e-27,5.05556884e-41
lightcurve,,,,5.39147154e+02,1.00000000e+09,7.98452306e-27,7.98452306e-27,6.32471777e-41
lightcurve,,,,7.13934775e+02,1.00000000e+09,1.02996582e-26,1.02996582e-26,8.11757098e-41
lightcurve,,,,9.45387283e+02,1.00000000e+09,1.30247061e-26,1.30247061e-26,1.02460248e-40
lightcurve,,,,1.25187503e+03,1.00000000e+09,1.64836395e-26,1.64836395e-26,1.30142401e-40
lightcurve,,,,1.65772389e+03,1.00000000e+09,2.04950876e-26,2.04950876e-26,1.66995613e-40
lightcurve,,,,2.19514602e+03,1.00000000e+09,2.51426268e-26,2.51426268e-26,2.12649742e-40
lightcurve,,,,2.90679654e+03,1.00000000e+09,3.07913193e-26,3.07913193e-26,2.74974895e-40
lightcurve,,,,3.84915902e+03,1.00000000e+09,3.56248192e-26,3.56248192e-26,3.55918147e-40
lightcurve,,,,5.09702863e+03,1.00000000e+09,4.05838306e-26,4.05838306e-26,4.58830278e-40
lightcurve,,,,6.74944857e+03,1.00000000e+09,4.63985417e-26,4.63985417e-26,5.98036114e-40
lightcurve,,,,8.93757115e+03,1.00000000e+09,5.27753577e-26,5.27753577e-26,7.80279545e-40
lightcurve,,,,1.18350673e+04,1.00000000e+09,6.02067887e-26,6.02067887e-26,1.02996659e-39
lightcurve,,,,1.56719108e+04,1.00000000e+09,6.82384684e-26,6.82384684e-26,1.35770120e-39
lightcurve,,,,2.07526313e+04,1.00000000e+09,7.69333093e-26,7.69333093e-26,1.80071189e-39
lightcurve,,,,2.74804848e+04,1.00000000e+09,8.62227026e-26,8.62227026e-26,2.40399085e-39
lightcurve,,,,3.63894599e+04,1.00000000e+09,9.36887195e-26,9.36887195e-26,3.15972047e-39
lightcurve,,,,4.81866605e+04,1.00000000e+09,9.93538298e-26,9.93538298e-26,4.20429342e-39
lightcurve,,,,6.38084285e+04,1.00000000e+09,1.01322828e-25,1.01322828e-25,5.47735358e-39
lightcurve,,,,8.44946611e+04,1.00000000e+09,1.02071038e-25,1.02071038e-25,7.22961656e-39
lightcurve,,,,1.11887221e+05,1.00000000e+09,1.03340448e-25,1.03340448e-25,9.60243793e-39
lightcurve,,,,1.48160252e+05,1.00000000e+09,1.03697416e-25,1.03697416e-25,1.25965694e-38
lightcurve,,,,1.96192737e+05,1.00000000e+09,1.03713073e-25,1.03713073e-25,1.72700355e-38
lightcurve,,,,2.59797009e+05,1.00000000e+09,1.00878677e-25,1.00878677e-25,2.25087717e-38
lightcurve,,,,3.44021326e+05,1.00000000e+09,9.85884183e-26,9.85884183e-26,3.02678419e-38
lightcurve,,,,4.55550561e+05,1.00000000e+09,9.48349758e-26,9.48349758e-26,3.88377850e-38
lightcurve,,,,6.03236769e+05,1.00000000e+09,8.87868565e-26,8.87868565e-26,5.08247188e-38
lightcurve,,,,7.98801781e+05,1.00000000e+09,8.51976588e-26,8.51976588e-26,7.00710030e-38
lightcurve,,,,1.05776756e+06,1.00000000e+09,7.81022915e-26,7.81022915e-26,8.80911337e-38
lightcurve,,,,1.40068818e+06,1.00000000e+09,7.96674386e-26,7.96674386e-26,1.32157141e-37
lightcurve,,,,1.85478119e+06,1.00000000e+09,7.62108068e-26,7.62108068e-26,1.68050481e-37
lightcurve,,,,2.45608788e+06,1.00000000e+09,7.70641623e-26,7.70641623e-26,2.69624279e-37
lightcurve,,,,3.25233387e+06,1.00000000e+09,7.66131870e-26,7.66131870e-26,3.82918840e-37
lightcurve,,,,4.30671707e+06,1.00000000e+09,7.31450453e-26,7.31450453e-26,5.28735544e-37
lightcurve,,,,5.70292370e+06,1.00000000e+09,7.03185148e-26,7.03185148e-26,7.54051369e-37
lightcurve,,,,7.55177045e+06,1.00000000e+09,6.35719256e-26,6.35719256e-26,9.47313634e-37
lightcurve,,,,1.00000000e+07,1.00000000e+09,6.35169802e-26,6.35169802e-26,1.51367689e-36
lightcurve,,,,1.00000000e+02,1.00000000e+14,3.70826095e-25,3.70826095e-25,1.14807603e-37
lightcurve,,,,1.32419279e+02,1.00000000e+14,4.11432766e-25,4.11432766e-25,1.33620712e-37
lightcurve,,,,1.75348655e+02,1.00000000e+14,4.74382227e-25,4.74382227e-25,1.59478043e-37
lightcurve,,,,2.32195425e+02,1.00000000e+14,5.55682586e-25,5.55682586e-25,1.95014428e-37
lightcurve,,,,3.07471508e+02,1.00000000e+14,6.06353717e-25,6.06353717e-25,2.27384111e-37
lightcurve,,,,4.07151555e+02,1.00000000e+14,6.59160642e-25,6.59160642e-25,2.71910599e-37
lightcurve,,,,5.39147154e+02,1.00000000e+14,7.05157949e-25,7.05157949e-25,3.18309468e-37
lightcurve,,,,7.13934775e+02,1.00000000e+14,7.83961117e-25,7.83961117e-25,3.97699191e-37
lightcurve,,,,9.45387283e+02,1.00000000e+14,8.48298719e-25,8.48298719e-25,4.92533626e-37
lightcurve,,,,1.25187503e+03,1.00000000e+14,9.17441264e-25,9.17441264e-25,6.22808277e-37
lightcurve,,,,1.65772389e+03,1.00000000e+14,1.00355621e-24,1.00355621e-24,8.26226575e-37
lightcurve,,,,2.19514602e+03,1.00000000e+14,1.08540762e-24,1.08540762e-24,1.08238129e-36
lightcurve,,,,2.90679654e+03,1.00000000e+14,1.18603696e-24,1.18603696e-24,1.47288660e-36
lightcurve,,,,3.84915902e+03,1.00000000e+14,1.30272693e-24,1.30272693e-24,2.05754491e-36
lightcurve,,,,5.09702863e+03,1.00000000e+14,1.41447106e-24,1.41447106e-24,2.86487755e-36
lightcurve,,,,6.74944857e+03,1.00000000e+14,1.53225897e-24,1.53225897e-24,4.08117897e-36
lightcurve,,,,8.93757115e+03,1.00000000e+14,1.64030794e-24,1.64030794e-24,5.80461049e-36
lightcurve,,,,1.18350673e+04,1.00000000e+14,1.73485330e-24,1.73485330e-24,8.38725842e-36
lightcurve,,,,1.56719108e+04,1.00000000e+14,1.79213234e-24,1.79213234e-24,1.19455330e-35
lightcurve,,,,2.07526313e+04,1.00000000e+14,1.80247442e-24,1.80247442e-24,1.70840533e-35
lightcurve,,,,2.74804848e+04,1.00000000e+14,1.75624110e-24,1.75624110e-24,2.45207899e-35
lightcurve,,,,3.63894599e+04,1.00000000e+14,1.59701556e-24,1.59701556e-24,3.43700305e-35
lightcurve,,,,4.81866605e+04,1.00000000e+14,1.33023861e-24,1.33023861e-24,4.94864481e-35
lightcurve,,,,6.38084285e+04,1.00000000e+14,9.98801899e-25,9.98801899e-25,6.87490138e-35
lightcurve,,,,8.44946611e+04,1.00000000e+14,6.76542594e-25,6.76542594e-25,9.47142721e-35
lightcurve,,,,1.11887221e+05,1.00000000e+14,4.26855828e-25,4.26855828e-25,1.27007353e-34
lightcurve,,,,1.48160252e+05,1.00000000e+14,2.56591413e-25,2.56591413e-25,1.63162102e-34
lightcurve,,,,1.96192737e+05,1.00000000e+14,1.55228174e-25,1.55228174e-25,2.14766935e-34
lightcurve,,,,2.59797009e+05,1.00000000e+14,9.05334011e-26,9.05334009e-26,2.64429297e-34
lightcurve,,,,3.44021326e+05,1.00000000e+14,5.44648781e-26,5.44648778e-26,3.27893606e-34
lightcurve,,,,4.55550561e+05,1.00000000e+14,3.26079126e-26,3.26079123e-26,3.89465389e-34
lightcurve,,,,6.03236769e+05,1.00000000e+14,1.88593489e-26,1.88593484e-26,4.71049820e-34
lightcurve,,,,7.98801781e+05,1.00000000e+14,1.18860883e-26,1.18860877e-26,5.99750676e-34
lightcurve,,,,1.05776756e+06,1.00000000e+14,6.52162314e-27,6.52162245e-27,6.92899542e-34
lightcurve,,,,1.40068818e+06,1.00000000e+14,4.35552023e-27,4.35551931e-27,9.28605188e-34
lightcurve,,,,1.85478119e+06,1.00000000e+14,2.46761850e-27,2.46761742e-27,1.08068274e-33
lightcurve,,,,2.45608788e+06,1.00000000e+14,1.60845234e-27,1.60845103e-27,1.30813469e-33
lightcurve,,,,3.25233387e+06,1.00000000e+14,9.99859567e-28,9.99858068e-28,1.49902479e-33
