gamma0,normalized_radius_step,gamma
1.00000000e+03,0.00000000e+00,1.00000000e+03
1.00000000e+03,5.02512563e-03,9.99296977e+02
1.00000000e+03,1.00502513e-02,9.98594942e+02
1.00000000e+03,1.50753769e-02,9.97893892e+02
1.00000000e+03,2.01005025e-02,9.97193826e+02
1.00000000e+03,2.51256281e-02,9.96494742e+02
1.00000000e+03,3.01507538e-02,9.95796637e+02
1.00000000e+03,3.51758794e-02,9.95099510e+02
1.00000000e+03,4.02010050e-02,9.94403358e+02
1.00000000e+03,4.52261307e-02,9.93708179e+02
1.00000000e+03,5.02512563e-02,9.93013972e+02
1.00000000e+03,5.52763819e-02,9.92320734e+02
1.00000000e+03,6.03015075e-02,9.91628463e+02
1.00000000e+03,6.53266332e-02,9.90937158e+02
1.00000000e+03,7.03517588e-02,9.90246815e+02
1.00000000e+03,7.53768844e-02,9.89557434e+02
1.00000000e+03,8.04020101e-02,9.88869012e+02
1.00000000e+03,8.54271357e-02,9.88181547e+02
1.00000000e+03,9.04522613e-02,9.87495038e+02
1.00000000e+03,9.54773869e-02,9.86809481e+02
1.00000000e+03,1.00502513e-01,9.86124876e+02
1.00000000e+03,1.05527638e-01,9.85441220e+02
1.00000000e+03,1.10552764e-01,9.84758511e+02
1.00000000e+03,1.15577889e-01,9.84076748e+02
1.00000000e+03,1.20603015e-01,9.83395928e+02
1.00000000e+03,1.25628141e-01,9.82716049e+02
1.00000000e+03,1.30653266e-01,9.82037110e+02
1.00000000e+03,1.35678392e-01,9.81359108e+02
1.00000000e+03,1.40703518e-01,9.80682042e+02
1.00000000e+03,1.45728643e-01,9.80005910e+02
1.00000000e+03,1.50753769e-01,9.79330709e+02
1.00000000e+03,1.55778894e-01,9.78656437e+02
1.00000000e+03,1.60804020e-01,9.77983094e+02
1.00000000e+03,1.65829146e-01,9.77310677e+02
1.00000000e+03,1.70854271e-01,9.76639183e+02
1.00000000e+03,1.75879397e-01,9.75968612e+02
1.00000000e+03,1.80904523e-01,9.75298961e+02
1.00000000e+03,1.85929648e-01,9.74630228e+02
1.00000000e+03,1.90954774e-01,9.73962412e+02
1.00000000e+03,1.95979899e-01,9.73295510e+02
1.00000000e+03,2.01005025e-01,9.72629521e+02
1.00000000e+03,2.06030151e-01,9.71964443e+02
1.00000000e+03,2.11055276e-01,9.71300273e+02
1.00000000e+03,2.16080402e-01,9.70637011e+02
1.00000000e+03,2.21105528e-01,9.69974654e+02
1.00000000e+03,2.26130653e-01,9.69313200e+02
1.00000000e+03,2.31155779e-01,9.68652648e+02
1.00000000e+03,2.36180905e-01,9.67992995e+02
1.00000000e+03,2.41206030e-01,9.67334241e+02
1.00000000e+03,2.46231156e-01,9.66676382e+02
1.00000000e+03,2.51256281e-01,9.66019417e+02
1.00000000e+03,2.56281407e-01,9.65363345e+02
1.00000000e+03,2.61306533e-01,9.64708164e+02
1.00000000e+03,2.66331658e-01,9.64053871e+02
