kind,radius_cm,gamma_e,dN_dgamma_e,electron_number,electron_energy_erg,chi,chi_radius_cm,chi_dvolume_weight,max_tau_syn_chi,max_seed_syn_chi
shell_budget,1.00053962e+14,,,4.10896019e+41,1.69428321e+41,,,,,
shell_budget,1.00180439e+14,,,4.04605955e+41,1.57205088e+41,,,,,
shell_budget,1.00603356e+14,,,4.02416326e+41,1.47705788e+41,,,,,
shell_budget,1.02017518e+14,,,4.12262557e+41,1.43464811e+41,,,,,
shell_budget,1.06746229e+14,,,4.65050305e+41,1.54572186e+41,,,,,
shell_budget,1.22558212e+14,,,7.03747442e+41,2.24741427e+41,,,,,
shell_budget,1.75430706e+14,,,2.12273837e+42,6.21191459e+41,,,,,
shell_budget,3.52226745e+14,,,1.76773980e+43,4.29365682e+42,,,,,
shell_budget,9.43380978e+14,,,3.43480685e+44,6.57483791e+43,,,,,
shell_budget,2.91810796e+15,,,1.02307967e+46,1.47033540e+45,,,,,
shell_budget,9.31281018e+15,,,3.34408361e+47,3.23893104e+46,,,,,
shell_budget,2.33055541e+16,,,5.23149105e+48,3.39557111e+47,,,,,
shell_budget,3.95078425e+16,,,2.52868362e+49,1.34636827e+48,,,,,
shell_budget,5.78771975e+16,,,7.88958514e+49,3.59706098e+48,,,,,
shell_budget,8.08047822e+16,,,2.14769196e+50,7.49823626e+48,,,,,
shell_budget,1.10699988e+17,,,5.48766923e+50,1.39284482e+49,,,,,
shell_budget,1.50403749e+17,,,1.36386765e+51,2.56652652e+49,,,,,
shell_budget,2.03594108e+17,,,3.40077523e+51,4.35949447e+49,,,,,
shell_budget,2.75252870e+17,,,8.39926078e+51,7.14854155e+49,,,,,
electron_spectrum,1.00053962e+14,3.18603621e+00,0.00000000e+00,,,,,,,
electron_spectrum,1.00180439e+14,3.18603621e+00,2.88806213e+16,,,,,,,
electron_spectrum,1.00603356e+14,3.18603621e+00,4.79177026e+20,,,,,,,
electron_spectrum,1.02017518e+14,3.18603621e+00,7.21079936e+24,,,,,,,
electron_spectrum,1.06746229e+14,3.18603621e+00,8.98615167e+28,,,,,,,
electron_spectrum,1.22558212e+14,3.18603621e+00,6.37825147e+32,,,,,,,
electron_spectrum,1.75430706e+14,3.18603621e+00,1.31389460e+36,,,,,,,
electron_spectrum,3.52226745e+14,3.18603621e+00,5.29486673e+38,,,,,,,
electron_spectrum,9.43380978e+14,3.18603621e+00,6.27084055e+40,,,,,,,
