kind,target_photon_ev,pgamma_gamma_p_threshold,bh_gamma_p_threshold,gamma_gamma_partner_ev,normalized_n_epsilon
threshold,1.00000000e-06,1.59914712e+14,1.02200000e+12,2.61121000e+17,1.00000000e+00
threshold,1.15547754e-06,1.38397076e+14,8.84482795e+11,2.25985354e+17,9.16944598e-01
threshold,1.33512833e-06,1.19774787e+14,7.65469486e+11,1.95577454e+17,8.40787396e-01
threshold,1.54271080e-06,1.03658257e+14,6.62470246e+11,1.69261148e+17,7.70955460e-01
threshold,1.78256767e-06,8.97103179e+13,5.73330269e+11,1.46485884e+17,7.06923445e-01
threshold,2.05971690e-06,7.76391710e+13,4.96184695e+11,1.26775190e+17,6.48209634e-01
threshold,2.37995660e-06,6.71922808e+13,4.29419595e+11,1.09716707e+17,5.94372322e-01
threshold,2.74998639e-06,5.81510923e+13,3.71638203e+11,9.49535610e+16,5.45006490e-01
threshold,3.17754749e-06,5.03264586e+13,3.21631700e+11,8.21768992e+16,4.99740756e-01
threshold,3.67158474e-06,4.35546837e+13,2.78353918e+11,7.11194262e+16,4.58234587e-01
threshold,4.24243369e-06,3.76940982e+13,2.40899464e+11,6.15498130e+16,4.20175729e-01
threshold,4.90203682e-06,3.26220953e+13,2.08484766e+11,5.32678577e+16,3.85277865e-01
threshold,5.66419342e-06,2.82325656e+13,1.80431691e+11,4.61002972e+16,3.53278457e-01
threshold,6.54484825e-06,2.44336776e+13,1.56153353e+11,3.98971817e+16,3.23936773e-01
threshold,7.56242513e-06,2.11459564e+13,1.35141834e+11,3.45287385e+16,2.97032074e-01
threshold,8.73821234e-06,1.83006210e+13,1.16957561e+11,2.98826567e+16,2.72361955e-01
threshold,1.00968081e-05,1.58381452e+13,1.01220108e+11,2.58617375e+16,2.49740824e-01
threshold,1.16666349e-05,1.37070127e+13,8.76002386e+10,2.23818610e+16,2.28998499e-01
threshold,1.34805345e-05,1.18626388e+13,7.58130175e+10,1.93702260e+16,2.09978937e-01
threshold,1.55764548e-05,1.02664383e+13,6.56118490e+10,1.67638274e+16,1.92539052e-01
threshold,1.79982436e-05,8.88501766e+12,5.67833186e+10,1.45081379e+16,1.76547643e-01
threshold,2.07965661e-05,7.68947676e+12,4.91427283e+10,1.25559671e+16,1.61884408e-01
threshold,2.40299650e-05,6.65480421e+12,4.25302326e+10,1.08664744e+16,1.48439033e-01
threshold,2.77660847e-05,5.75935404e+12,3.68074941e+10,9.40431475e+15,1.36110370e-01
threshold,3.20830871e-05,4.98439292e+12,3.18547899e+10,8.13889882e+15,1.24805668e-01
threshold,3.70712864e-05,4.31370820e+12,2.75685065e+10,7.04375341e+15,1.14439883e-01
