medium,sigma,nu_hz,total_peak_time_s,total_peak_fnu_cgs,rs_peak_time_s,rs_peak_fnu_cgs,rs_to_total_at_total_peak
ism,0.0,1000000000.0,456640.5432338164,2.90831110439177e-27,324069.6035787167,1.1280019693782993e-27,0.370685809800399
ism,0.0,100000000000000.0,20852.058572487535,3.723962034443205e-26,20852.058572487535,2.710685974402405e-26,0.7279037619962467
ism,0.0,1e+18,14798.331982375272,1.7720334847312022e-28,14798.331982375272,1.013226330798779e-29,0.05717873502556721
ism,0.0001,1000000000.0,456640.5432338164,2.928638344129352e-27,324069.6035787167,1.128407985092536e-27,0.3750534735487751
ism,0.0001,100000000000000.0,20852.058572487535,3.837762339148327e-26,20852.058572487535,2.8236680867582377e-26,0.7357589754723748
ism,0.0001,1e+18,14798.331982375272,1.7735071940889567e-28,14798.331982375272,1.0072332775099063e-29,0.05679330091622875
ism,0.001,1000000000.0,643443.8263328994,3.0465407291738396e-27,456640.5432338164,1.2002095488130268e-27,0.30687905903787954
ism,0.001,100000000000000.0,20852.058572487535,5.80570135996773e-26,14798.331982375272,5.0342252520880836e-26,0.8243051002897496
ism,0.001,1e+18,14798.331982375272,1.790753378314935e-28,14798.331982375272,1.0423880765423185e-29,0.05820947145291363
ism,0.01,1000000000.0,643443.8263328994,3.339455953158358e-27,643443.8263328994,1.2186946707291273e-27,0.3649380880668668
ism,0.01,100000000000000.0,14798.331982375272,1.8294801259661822e-25,14798.331982375272,1.7636447971442013e-25,0.9640141874800568
ism,0.01,1e+18,14798.331982375272,1.871154209411199e-28,14798.331982375272,1.1120135038060182e-29,0.059429281574603005
ism,0.1,1000000000.0,643443.8263328994,3.152205771102852e-27,643443.8263328994,1.0051838282969849e-27,0.318882681299484
ism,0.1,100000000000000.0,14798.331982375272,3.655582214363947e-25,14798.331982375272,3.5977220458073644e-25,0.984172105792278
ism,0.1,1e+18,14798.331982375272,2.136982990180178e-28,14798.331982375272,1.1121328662123564e-29,0.052042195530933436
ism,1.0,1000000000.0,2536619.4557577968,2.844527895760853e-27,643443.8263328994,6.214223693025648e-28,0.0019582905670658393
ism,1.0,100000000000000.0,10502.110796366658,6.065960855429651e-25,10502.110796366658,6.035060946531477e-25,0.9949060157764594
ism,1.0,1e+18,14798.331982375272,2.3995178588476844e-28,10502.110796366658,1.18507179697298e-29,0.02286013158519185
