Gamma,theta_rad,doppler_delta,delay_over_R_over_c,solid_angle_weight
1.00000000e+01,0.00000000e+00,1.99498744e+01,5.03781526e-03,0.00000000e+00
1.00000000e+01,1.46443515e-03,1.99456290e+01,5.03888754e-03,1.46443462e-03
1.00000000e+01,2.92887029e-03,1.99329037e+01,5.04210440e-03,2.92886611e-03
1.00000000e+01,4.39330544e-03,1.99117310e+01,5.04746581e-03,4.39329131e-03
1.00000000e+01,5.85774059e-03,1.98821647e+01,5.05497177e-03,5.85770709e-03
1.00000000e+01,7.32217573e-03,1.98442798e+01,5.06462227e-03,7.32211030e-03
1.00000000e+01,8.78661088e-03,1.97981718e+01,5.07641728e-03,8.78649782e-03
1.00000000e+01,1.02510460e-02,1.97439563e+01,5.09035677e-03,1.02508665e-02
1.00000000e+01,1.17154812e-02,1.96817680e+01,5.10644072e-03,1.17152132e-02
1.00000000e+01,1.31799163e-02,1.96117602e+01,5.12466910e-03,1.31795347e-02
1.00000000e+01,1.46443515e-02,1.95341038e+01,5.14504186e-03,1.46438280e-02
1.00000000e+01,1.61087866e-02,1.94489859e+01,5.16755896e-03,1.61080899e-02
1.00000000e+01,1.75732218e-02,1.93566095e+01,5.19222035e-03,1.75723173e-02
1.00000000e+01,1.90376569e-02,1.92571913e+01,5.21902598e-03,1.90365069e-02
1.00000000e+01,2.05020921e-02,1.91509614e+01,5.24797579e-03,2.05006558e-02
1.00000000e+01,2.19665272e-02,1.90381614e+01,5.27906972e-03,2.19647607e-02
1.00000000e+01,2.34309623e-02,1.89190437e+01,5.31230770e-03,2.34288184e-02
1.00000000e+01,2.48953975e-02,1.87938695e+01,5.34768966e-03,2.48928260e-02
1.00000000e+01,2.63598326e-02,1.86629079e+01,5.38521553e-03,2.63567801e-02
1.00000000e+01,2.78242678e-02,1.85264346e+01,5.42488522e-03,2.78206777e-02
1.00000000e+01,2.92887029e-02,1.83847305e+01,5.46669866e-03,2.92845157e-02
1.00000000e+01,3.07531381e-02,1.82380802e+01,5.51065574e-03,3.07482908e-02
1.00000000e+01,3.22175732e-02,1.80867712e+01,5.55675638e-03,3.22120000e-02
1.00000000e+01,3.36820084e-02,1.79310924e+01,5.60500048e-03,3.36756401e-02
1.00000000e+01,3.51464435e-02,1.77713329e+01,5.65538793e-03,3.51392081e-02
1.00000000e+01,3.66108787e-02,1.76077811e+01,5.70791862e-03,3.66027006e-02
1.00000000e+01,3.80753138e-02,1.74407235e+01,5.76259245e-03,3.80661147e-02
1.00000000e+01,3.95397490e-02,1.72704439e+01,5.81940930e-03,3.95294471e-02
1.00000000e+01,4.10041841e-02,1.70972222e+01,5.87836903e-03,4.09926947e-02
1.00000000e+01,4.24686192e-02,1.69213340e+01,5.93947154e-03,4.24558544e-02
1.00000000e+01,4.39330544e-02,1.67430493e+01,6.00271668e-03,4.39189231e-02
1.00000000e+01,4.53974895e-02,1.65626324e+01,6.06810432e-03,4.53818976e-02
1.00000000e+01,4.68619247e-02,1.63803408e+01,6.13563433e-03,4.68447748e-02
1.00000000e+01,4.83263598e-02,1.61964249e+01,6.20530654e-03,4.83075515e-02
1.00000000e+01,4.97907950e-02,1.60111274e+01,6.27712083e-03,4.97702246e-02
1.00000000e+01,5.12552301e-02,1.58246831e+01,6.35107702e-03,5.12327910e-02
1.00000000e+01,5.27196653e-02,1.56373184e+01,6.42717497e-03,5.26952475e-02
1.00000000e+01,5.41841004e-02,1.54492510e+01,6.50541451e-03,5.41575910e-02
1.00000000e+01,5.56485356e-02,1.52606898e+01,6.58579548e-03,5.56198183e-02
1.00000000e+01,5.71129707e-02,1.50718346e+01,6.66831769e-03,5.70819264e-02
1.00000000e+01,5.85774059e-02,1.48828765e+01,6.75298097e-03,5.85439120e-02
1.00000000e+01,6.00418410e-02,1.46939969e+01,6.83978515e-03,6.00057721e-02
1.00000000e+01,6.15062762e-02,1.45053684e+01,6.92873004e-03,6.14675036e-02
1.00000000e+01,6.29707113e-02,1.43171544e+01,7.01981543e-03,6.29291031e-02
1.00000000e+01,6.44351464e-02,1.41295094e+01,7.11304115e-03,6.43905678e-02
1.00000000e+01,6.58995816e-02,1.39425787e+01,7.20840699e-03,6.58518943e-02
1.00000000e+01,6.73640167e-02,1.37564990e+01,7.30591274e-03,6.73130796e-02
1.00000000e+01,6.88284519e-02,1.35713985e+01,7.40555820e-03,6.87741206e-02
1.00000000e+01,7.02928870e-02,1.33873968e+01,7.50734314e-03,7.02350141e-02
1.00000000e+01,7.17573222e-02,1.32046053e+01,7.61126737e-03,7.16957569e-02
1.00000000e+01,7.32217573e-02,1.30231276e+01,7.71733064e-03,7.31563460e-02
1.00000000e+01,7.46861925e-02,1.28430594e+01,7.82553274e-03,7.46167782e-02
1.00000000e+01,7.61506276e-02,1.26644890e+01,7.93587343e-03,7.60770504e-02
1.00000000e+01,7.76150628e-02,1.24874975e+01,8.04835247e-03,7.75371594e-02
1.00000000e+01,7.90794979e-02,1.23121592e+01,8.16296963e-03,7.89971022e-02
