kind,target_photon_ev,pgamma_gamma_p_threshold,bh_gamma_p_threshold,gamma_gamma_partner_ev,normalized_n_epsilon
threshold,1.00000000e-06,7.23426240e+13,5.10998950e+11,2.61119927e+17,1.00000000e+00
threshold,1.15547754e-06,6.26084210e+13,4.42240489e+11,2.25984425e+17,9.16944598e-01
threshold,1.33512833e-06,5.41840227e+13,3.82733957e+11,1.95576650e+17,8.40787396e-01
threshold,1.54271080e-06,4.68931858e+13,3.31234442e+11,1.69260452e+17,7.70955460e-01
threshold,1.78256767e-06,4.05833816e+13,2.86664545e+11,1.46485282e+17,7.06923445e-01
threshold,2.05971690e-06,3.51226055e+13,2.48091838e+11,1.26774669e+17,6.48209634e-01
threshold,2.37995660e-06,3.03966148e+13,2.14709356e+11,1.09716256e+17,5.94372322e-01
threshold,2.74998639e-06,2.63065389e+13,1.85818720e+11,9.49531707e+16,5.45006490e-01
threshold,3.17754749e-06,2.27668113e+13,1.60815519e+11,8.21765615e+16,4.99740756e-01
threshold,3.67158474e-06,1.97033785e+13,1.39176673e+11,7.11191339e+16,4.58234587e-01
threshold,4.24243369e-06,1.70521520e+13,1.20449484e+11,6.15495600e+16,4.20175729e-01
threshold,4.90203682e-06,1.47576664e+13,1.04242169e+11,5.32676388e+16,3.85277865e-01
threshold,5.66419342e-06,1.27719198e+13,9.02156604e+10,4.61001077e+16,3.53278457e-01
threshold,6.54484825e-06,1.10533692e+13,7.80765161e+10,3.98970177e+16,3.23936773e-01
threshold,7.56242513e-06,9.56606152e+12,6.75707781e+10,3.45285966e+16,2.97032074e-01
threshold,8.73821234e-06,8.27888144e+12,5.84786601e+10,2.98825339e+16,2.72361955e-01
threshold,1.00968081e-05,7.16490039e+12,5.06099499e+10,2.58616313e+16,2.49740824e-01
threshold,1.16666349e-05,6.20081323e+12,4.38000293e+10,2.23817690e+16,2.28998499e-01
threshold,1.34805345e-05,5.36645070e+12,3.79064309e+10,1.93701464e+16,2.09978937e-01
threshold,1.55764548e-05,4.64435746e+12,3.28058571e+10,1.67637585e+16,1.92539052e-01
threshold,1.79982436e-05,4.01942687e+12,2.83916009e+10,1.45080783e+16,1.76547643e-01
threshold,2.07965661e-05,3.47858504e+12,2.45713137e+10,1.25559155e+16,1.61884408e-01
threshold,2.40299650e-05,3.01051724e+12,2.12650726e+10,1.08664298e+16,1.48439033e-01
threshold,2.77660847e-05,2.60543122e+12,1.84037092e+10,9.40427610e+15,1.36110370e-01
threshold,3.20830871e-05,2.25485234e+12,1.59273622e+10,8.13886537e+15,1.24805668e-01
threshold,3.70712864e-05,1.95144628e+12,1.37842249e+10,7.04372446e+15,1.14439883e-01
threshold,4.28350387e-05,1.68886562e+12,1.19294616e+10,6.09594237e+15,1.04935033e-01
threshold,4.94949249e-05,1.46161701e+12,1.03242696e+10,5.27569094e+15,9.62196113e-02
threshold,5.71902738e-05,1.26494628e+12,8.93506738e+09,4.56581005e+15,8.82280528e-02
threshold,6.60820766e-05,1.09473896e+12,7.73279195e+09,3.95144857e+15,8.09002364e-02
threshold,7.63563550e-05,9.47434225e+11,6.69229104e+09,3.41975369e+15,7.41810348e-02
threshold,8.82280528e-05,8.19950364e+11,5.79179675e+09,2.95960206e+15,6.80198991e-02
threshold,1.01945533e-04,7.09620342e+11,5.01247024e+09,2.56136703e+15,6.23704790e-02
threshold,1.17795773e-04,6.14135992e+11,4.33800752e+09,2.21671729e+15,5.71902738e-02
threshold,1.36110370e-04,5.31499725e+11,3.75429845e+09,1.91844257e+15,5.24403126e-02
threshold,1.57272474e-04,4.59982742e+11,3.24913150e+09,1.66030278e+15,4.80848614e-02
threshold,1.81724811e-04,3.98088866e+11,2.81193827e+09,1.43689750e+15,4.40911539e-02
threshold,2.09978937e-04,3.44523242e+11,2.43357242e+09,1.24355295e+15,4.04291453e-02
threshold,2.42625944e-04,2.98165245e+11,2.10611834e+09,1.07622426e+15,3.70712864e-02
threshold,2.80348828e-04,2.58045038e+11,1.82272547e+09,9.31410803e+14,3.39923158e-02
threshold,3.23936773e-04,2.23323284e+11,1.57746509e+09,8.06083004e+14,3.11690704e-02
threshold,3.74301664e-04,1.93273584e+11,1.36520620e+09,6.97618932e+14,2.85803107e-02
threshold,4.32497164e-04,1.67267280e+11,1.18150821e+09,6.03749455e+14,2.62065615e-02
threshold,4.99740756e-04,1.44760304e+11,1.02252807e+09,5.22510769e+14,2.40299650e-02
threshold,5.77439217e-04,1.25281799e+11,8.84939808e+08,4.52203313e+14,2.20341466e-02
threshold,6.67218044e-04,1.08424262e+11,7.65865005e+08,3.91356213e+14,2.02040917e-02
threshold,7.70955460e-04,9.38350238e+10,6.62812544e+08,3.38696514e+14,1.85260327e-02
threshold,8.90821715e-04,8.12088690e+10,5.73626508e+08,2.93122544e+14,1.69873456e-02
threshold,1.02932448e-03,7.02816512e+10,4.96441074e+08,2.53680868e+14,1.55764548e-02
threshold,1.18936131e-03,6.08247664e+10,4.29641476e+08,2.19546343e+14,1.42827461e-02
threshold,1.37428028e-03,5.26403713e+10,3.71830229e+08,1.90004857e+14,1.30964869e-02
threshold,1.58794999e-03,4.55572434e+10,3.21797887e+08,1.64438382e+14,1.20087529e-02
threshold,1.83484054e-03,3.94271996e+10,2.78497744e+08,1.42312055e+14,1.10113611e-02
threshold,2.12011702e-03,3.41219958e+10,2.41023936e+08,1.23162978e+14,1.00968081e-02
threshold,2.44974759e-03,2.95306440e+10,2.08592490e+08,1.06590543e+14,9.25821361e-03
threshold,2.83062831e-03,2.55570906e+10,1.80524921e+08,9.22480449e+13,8.48926895e-03
threshold,3.27072742e-03,2.21182064e+10,1.56234038e+08,7.98354291e+13,7.78418931e-03
threshold,3.77925205e-03,1.91420479e+10,1.35211662e+08,6.90930171e+13,7.13767033e-03
threshold,4.36684085e-03,1.65663523e+10,1.17017993e+08,5.97960714e+13,6.54484825e-03
threshold,5.04578650e-03,1.43372344e+10,1.01272408e+08,5.17500943e+13,6.00126325e-03
threshold,5.83029294e-03,1.24080599e+10,8.76455017e+07,4.47867593e+13,5.50282592e-03
threshold,6.73677252e-03,1.07384692e+10,7.58521901e+07,3.87603895e+13,5.04578650e-03
threshold,7.78418931e-03,9.29353349e+09,6.56457506e+07,3.35449096e+13,4.62670667e-03
threshold,8.99445587e-03,8.04302395e+09,5.68126585e+07,2.90312089e+13,4.24243369e-03
threshold,1.03928917e-02,6.96077916e+09,4.91681204e+07,2.51248579e+13,3.89007665e-03
threshold,1.20087529e-02,6.02415794e+09,4.25522080e+07,2.17441336e+13,3.56698477e-03
threshold,1.38758442e-02,5.21356561e+09,3.68265126e+07,1.88183093e+13,3.27072742e-03
threshold,1.60332262e-02,4.51204411e+09,3.18712493e+07,1.62861749e+13,2.99907584e-03
threshold,1.85260327e-02,3.90491721e+09,2.75827511e+07,1.40947569e+13,2.74998639e-03
threshold,2.14064146e-02,3.37948345e+09,2.38713002e+07,1.21982093e+13,2.52158516e-03
threshold,2.47346312e-02,2.92475046e+09,2.06592508e+07,1.05568555e+13,2.31215389e-03
threshold,2.85803107e-02,2.53120495e+09,1.78794050e+07,9.13635718e+12,2.12011702e-03
threshold,3.30239069e-02,2.19061373e+09,1.54736068e+07,7.90699681e+12,1.94402985e-03
threshold,3.81583826e-02,1.89585142e+09,1.33915254e+07,6.84305542e+12,1.78256767e-03
threshold,4.40911539e-02,1.64075144e+09,1.15896026e+07,5.92227474e+12,1.63451579e-03
