scenario,code,code_version,source,physical_assumptions,coordinate,frequency_hz,observer_time,value_name,value,asgard_ratio,wall_time,boundary,radius_cm,chi,metric_group
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,Gamma,2.99999000e+02,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00053962e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,B_comoving_G,3.69368094e+00,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00053962e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,electron_number,4.21558845e+42,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00053962e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,electron_energy_erg,1.61986076e+42,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00053962e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,Gamma,2.99999000e+02,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00067706e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,B_comoving_G,3.69368094e+00,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00067706e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,electron_number,4.20530678e+42,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00067706e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,electron_energy_erg,1.61345337e+42,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00067706e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,Gamma,2.99999000e+02,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00084952e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,B_comoving_G,3.69368094e+00,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00084952e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,electron_number,4.19490167e+42,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00084952e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,electron_energy_erg,1.60696951e+42,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00084952e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,Gamma,2.99999000e+02,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00106590e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,B_comoving_G,3.69368094e+00,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00106590e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,electron_number,4.18439252e+42,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00106590e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,electron_energy_erg,1.60039055e+42,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00106590e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,Gamma,2.99999000e+02,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00133739e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,B_comoving_G,3.69368094e+00,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00133739e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,electron_number,4.17376238e+42,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00133739e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,electron_energy_erg,1.59368978e+42,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00133739e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,Gamma,2.99999000e+02,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00167804e+14,,full_state_chain
complex_state_dashboard,ASGARD,4.2.1,local git 714d890e,"ASGARD-only radius-ordered state dashboard; uniform medium; proton-synch hadronic rows use legacy_1d; activated p-gamma, Bethe-Heitler, and pair-feedback rows use am3_1d with joint coupling; chi projection uses the fullhide_2d electron branch",radius and local state coordinate,,,B_comoving_G,3.69368094e+00,,3.65532294e+01,ASGARD-only radius-ordered diagnostic; no cross-code ratio,1.00167804e+14,,full_state_chain
